Name,Team,,HBP,NameASCII,PlayerId,MLBAMID
"Nathan Eovaldi","TEX",,7,"Nathan Eovaldi",9132,543135
"Shawn Armstrong","TEX",,6,"Shawn Armstrong",12857,542888
"Jack Leiter","TEX",,5,"Jack Leiter",30146,683004
"Cole Winn","TEX",,4,"Cole Winn",22113,668390
"Kumar Rocker","TEX",,4,"Kumar Rocker",31843,677958
"Patrick Corbin","TEX",,3,"Patrick Corbin",9323,571578
"Jacob deGrom","TEX",,3,"Jacob deGrom",10954,594798
"Luke Jackson","TEX",,2,"Luke Jackson",11752,592426
"Hoby Milner","TEX",,2,"Hoby Milner",13346,571948
"Phil Maton","TEX",,2,"Phil Maton",18064,664208
"Jacob Webb","TEX",,2,"Jacob Webb",19274,657097
"Caleb Boushley","TEX",,2,"Caleb Boushley",19736,676961
"Gerson Garabito","TEX",,2,"Gerson Garabito",19835,642520
"Tucker Barnhart","TEX",,1,"Tucker Barnhart",10200,571466
"Merrill Kelly","TEX",,1,"Merrill Kelly",11156,518876
"Chris Martin","TEX",,1,"Chris Martin",11847,455119
"Rowdy Tellez","TEX",,1,"Rowdy Tellez",15679,642133
"Dane Dunning","TEX",,1,"Dane Dunning",19409,641540
"Robert Garcia","TEX",,1,"Robert Garcia",23363,676395
"Danny Coulombe","TEX",,0,"Danny Coulombe",13293,543056
"Carl Edwards Jr.","TEX",,0,"Carl Edwards Jr.",13607,605218
"Jon Gray","TEX",,0,"Jon Gray",14916,592351
"Tyler Mahle","TEX",,0,"Tyler Mahle",16358,641816
"Jacob Latz","TEX",,0,"Jacob Latz",21306,656641
"Codi Heuer","TEX",,0,"Codi Heuer",23293,676051
"Ezequiel Duran","TEX",,0,"Ezequiel Duran",23733,677649
"Luis Curvelo","TEX",,0,"Luis Curvelo",24710,681168
"Marc Church","TEX",,0,"Marc Church",26353,687847
"Jose Corniell","TEX",,0,"Jose Corniell",27984,692030
