Split,G,GS,PA,AB,R,H,2B,3B,HR,RBI,SB,CS,BB,SO,BA,OBP,SLG,OPS,TB,GDP,HBP,SH,SF,IBB,ROE,BAbip,tOPS+,sOPS+
Batting 1st,5389,4860,22401,19920,3077,5128,955,114,688,2216,610,170,2059,4495,.257,.333,.420,.753,8375,262,245,48,120,72,135,.299,110,100
Batting 2nd,5404,4860,21869,19345,2897,4967,931,67,775,2482,388,111,2097,4512,.257,.334,.432,.766,8357,445,221,46,148,112,114,.295,113,100
Batting 3rd,5417,4860,21387,18912,2718,4870,985,70,805,2729,404,100,2098,4544,.258,.335,.445,.780,8410,426,200,9,158,158,113,.296,117,100
Batting 4th,5440,4860,20905,18647,2507,4658,908,56,792,2890,276,55,1803,4661,.250,.321,.432,.753,8054,415,240,9,192,63,103,.289,109,100
Batting 5th,5566,4860,20391,18338,2322,4460,884,59,671,2506,327,106,1665,4686,.243,.311,.408,.719,7475,353,204,26,148,46,100,.289,100,100
Batting 6th,5647,4860,19855,17932,2069,4284,796,66,586,2203,344,122,1504,4599,.239,.303,.389,.692,6970,293,219,36,155,46,107,.287,93,100
Batting 7th,5802,4860,19296,17431,2055,4171,850,67,491,2036,353,117,1444,4507,.239,.303,.380,.684,6628,351,214,71,125,37,97,.293,90,100
Batting 8th,5909,4860,18687,16833,2031,3868,725,64,461,1920,363,101,1428,4503,.230,.295,.363,.657,6104,306,178,100,141,16,109,.284,84,100
Batting 9th,6311,4860,18135,16306,1938,3732,711,65,381,1758,375,107,1281,4138,.229,.291,.351,.642,5716,271,207,215,120,6,140,.281,79,100
Bat1-2non-P,10751,9720,44260,39255,5969,10094,1886,181,1463,4698,995,281,4156,9004,.257,.333,.426,.760,16731,706,466,94,268,184,248,.297,111,100
Bat3-6non-P,21910,19440,82526,73819,9583,18271,3573,251,2853,10326,1340,378,7068,18488,.248,.318,.419,.737,30905,1487,863,80,653,313,423,.290,105,100
Bat7-9non-P,17827,14580,56113,50565,5993,11770,2286,196,1333,5713,1069,320,4153,13144,.233,.297,.365,.661,18447,928,599,386,386,59,346,.286,85,100
