pitcher,player_name,game_date,Pitches_thrown,Avg_Velo,Max_Velo,Avg_Spin,EV_allowed,Barrel_allowed,Hard_Hit_allowed,Total_BIP,xBA_against,xwOBA_against,Whiff,Swing,K,BB,Outs,V_Break,H_Break,Release_Extension,IP_float,Whiff_pct,Hard_Hit_allowed_pct
455119,Chris Martin,2025-03-27,16,90.912,95.1,1970.06,97.28,0,3,5,0.367,0.224,4,10,2,0,4,2.08,0.44,6.61,1.33,40.0,60.0
455119,Chris Martin,2025-03-29,13,93.262,95.5,2242.0,101.15,0,2,2,0.218,0.139,6,8,2,0,3,1.74,0.5,6.64,1.0,75.0,100.0
455119,Chris Martin,2025-03-30,16,92.394,94.9,2119.19,76.638,0,2,8,0.72,0.349,2,10,2,0,3,1.78,0.65,6.61,1.0,20.0,25.0
455119,Chris Martin,2025-04-02,10,90.25,93.7,1964.9,86.3,0,1,3,0.332,0.214,1,5,1,0,2,2.18,-0.06,6.54,0.67,20.0,33.3
455119,Chris Martin,2025-04-04,11,91.555,94.5,2045.82,70.875,0,0,4,0.574,0.355,2,6,1,0,2,1.94,0.64,6.55,0.67,33.3,0.0
455119,Chris Martin,2025-04-05,9,91.844,94.4,2168.67,76.825,0,0,4,0.114,0.069,1,5,1,0,3,1.86,0.21,6.54,1.0,20.0,0.0
455119,Chris Martin,2025-04-08,21,91.571,95.3,1998.1,90.95,1,4,8,0.462,0.381,1,10,2,0,2,1.99,0.3,6.67,0.67,10.0,50.0
455119,Chris Martin,2025-04-11,12,89.292,93.7,1898.58,78.367,1,1,6,0.471,0.548,1,8,1,0,4,2.3,0.35,6.54,1.33,12.5,16.7
455119,Chris Martin,2025-04-15,8,91.75,94.8,2113.0,78.95,1,1,6,0.403,0.726,0,6,0,0,1,1.81,0.54,6.52,0.33,0.0,16.7
455119,Chris Martin,2025-04-17,16,93.55,96.5,2193.38,90.0,0,1,4,0.678,0.238,2,8,2,0,3,1.73,0.39,6.57,1.0,25.0,25.0
455119,Chris Martin,2025-04-20,11,92.655,96.9,2104.27,88.46,0,1,5,0.338,0.355,0,5,0,1,3,1.78,0.55,6.65,1.0,0.0,20.0
455119,Chris Martin,2025-04-24,19,92.705,95.1,2178.47,84.64,0,0,5,0.166,0.108,1,7,1,0,3,1.85,0.44,6.57,1.0,14.3,0.0
455119,Chris Martin,2025-04-25,17,93.612,95.8,2196.76,83.467,0,1,6,0.276,0.163,0,6,2,0,4,1.62,0.44,6.53,1.33,0.0,16.7
455119,Chris Martin,2025-04-27,10,93.26,96.1,2220.4,82.78,0,0,5,0.108,0.05,2,7,1,0,2,1.67,0.2,6.61,0.67,28.6,0.0
455119,Chris Martin,2025-04-30,17,91.188,96.8,2371.12,84.45,0,1,8,0.276,0.263,1,9,0,0,3,2.07,0.06,6.46,1.0,11.1,12.5
455119,Chris Martin,2025-05-03,30,91.173,95.1,2031.17,81.814,1,3,14,0.404,0.401,0,17,0,0,3,2.22,0.2,6.58,1.0,0.0,21.4
455119,Chris Martin,2025-05-06,12,93.267,95.8,2209.67,78.74,0,0,5,0.437,0.212,2,7,2,0,3,1.7,0.48,6.47,1.0,28.6,0.0
455119,Chris Martin,2025-05-11,13,92.692,96.2,2173.92,82.95,0,1,4,0.106,0.032,1,5,2,0,3,1.8,0.49,6.41,1.0,20.0,25.0
455119,Chris Martin,2025-05-12,7,90.157,94.9,2182.86,86.533,0,0,3,0.295,0.205,0,3,1,0,3,2.28,0.01,6.51,1.0,0.0,0.0
455119,Chris Martin,2025-05-13,1,91.5,91.5,2263.0,107.8,0,1,1,0.656,0.597,0,1,0,0,0,2.12,0.13,6.3,0.0,0.0,100.0
455119,Chris Martin,2025-05-17,7,92.914,94.8,2209.29,78.4,0,0,3,0.126,0.119,1,4,0,0,3,1.76,0.59,6.37,1.0,25.0,0.0
455119,Chris Martin,2025-05-18,1,91.8,91.8,2285.0,,0,0,0,,,0,0,0,0,0,1.96,-0.21,6.2,0.0,0.0,0.0
455119,Chris Martin,2025-06-07,13,92.277,95.4,2145.85,100.1,1,2,3,0.613,0.574,1,5,1,0,3,1.91,0.18,6.62,1.0,20.0,66.7
455119,Chris Martin,2025-06-12,10,92.6,95.0,2233.0,83.6,0,1,4,0.362,0.261,1,5,1,0,3,1.66,0.34,6.65,1.0,20.0,25.0
455119,Chris Martin,2025-06-13,6,91.3,94.9,1949.33,80.7,0,1,2,0.202,0.175,1,3,1,0,2,2.06,0.8,6.67,0.67,33.3,50.0
455119,Chris Martin,2025-06-20,11,92.809,95.1,2166.73,80.4,0,2,7,0.304,0.281,0,7,0,0,3,1.79,0.49,6.56,1.0,0.0,28.6
455119,Chris Martin,2025-06-21,12,93.25,95.5,2240.42,89.15,1,1,2,0.601,0.4,5,7,2,0,3,1.8,0.16,6.56,1.0,71.4,50.0
455119,Chris Martin,2025-06-24,13,93.238,95.9,2118.92,88.417,2,3,6,0.503,1.0,0,6,0,0,0,1.91,0.49,6.56,0.0,0.0,50.0
455119,Chris Martin,2025-06-27,8,90.338,94.0,,89.517,1,3,6,0.495,0.592,0,6,0,0,2,2.34,0.58,6.59,0.67,0.0,50.0
455119,Chris Martin,2025-06-28,6,91.0,94.2,1973.83,85.567,0,0,3,0.068,0.047,1,5,1,0,2,2.22,0.48,6.38,0.67,20.0,0.0
455119,Chris Martin,2025-06-30,11,92.482,95.4,2107.64,82.886,0,0,7,0.218,0.198,1,9,0,0,3,1.83,0.57,6.61,1.0,11.1,0.0
455119,Chris Martin,2025-07-04,17,91.959,94.6,2085.12,88.725,0,1,4,0.354,0.344,3,7,1,1,3,1.85,0.51,6.56,1.0,42.9,25.0
455119,Chris Martin,2025-07-05,11,94.009,95.9,2144.73,75.2,0,0,2,0.273,0.126,1,3,1,0,2,1.66,0.65,6.55,0.67,33.3,0.0
455119,Chris Martin,2025-07-07,23,92.283,96.3,2024.35,85.222,0,3,9,0.379,0.32,1,12,1,0,4,2.01,0.58,6.65,1.33,8.3,33.3
455119,Chris Martin,2025-07-09,9,93.622,95.6,2211.0,87.95,0,2,4,0.547,0.593,0,4,0,0,2,1.79,0.55,6.54,0.67,0.0,50.0
455119,Chris Martin,2025-07-11,17,92.841,96.4,2116.59,76.675,0,0,8,0.578,0.273,4,12,2,0,3,1.89,0.46,6.47,1.0,33.3,0.0
455119,Chris Martin,2025-07-12,12,93.3,95.6,2227.33,83.08,0,1,5,0.274,0.249,1,6,0,0,3,1.78,0.39,6.52,1.0,16.7,20.0
455119,Chris Martin,2025-07-18,14,92.671,95.6,2165.14,79.42,0,0,5,0.182,0.286,1,7,1,1,2,1.76,0.45,6.49,0.67,14.3,0.0
455119,Chris Martin,2025-07-20,23,93.691,96.9,2190.91,74.843,0,1,7,0.315,0.228,1,9,1,0,2,1.78,0.41,6.57,0.67,11.1,14.3
455119,Chris Martin,2025-09-01,12,92.733,95.1,2143.58,77.4,0,0,4,0.475,0.299,2,6,1,0,2,1.92,0.46,6.62,0.67,33.3,0.0
455119,Chris Martin,2025-09-03,3,94.1,95.4,2291.33,71.8,0,0,2,0.319,0.287,0,2,0,0,1,1.45,0.56,6.57,0.33,0.0,0.0
455119,Chris Martin,2025-09-05,21,92.471,95.5,2193.67,80.011,1,2,9,0.269,0.308,3,13,1,0,2,2.0,0.45,6.61,0.67,23.1,22.2
455119,Chris Martin,2025-09-08,23,90.778,95.0,2090.3,83.346,0,4,13,0.338,0.206,3,16,1,0,3,2.13,0.17,6.46,1.0,18.8,30.8
455119,Chris Martin,2025-09-13,22,91.504,96.1,2042.61,89.633,0,3,9,0.125,0.093,2,11,1,0,4,2.1,0.46,6.65,1.33,18.2,33.3
455119,Chris Martin,2025-09-16,7,90.014,93.7,2362.0,87.967,0,1,3,0.19,0.365,0,3,0,0,2,2.31,-0.11,6.31,0.67,0.0,33.3
455119,Chris Martin,2025-09-19,12,92.283,95.3,2014.08,84.85,0,1,2,0.504,0.295,2,5,1,0,2,1.92,0.74,6.5,0.67,40.0,50.0
455119,Chris Martin,2025-09-20,1,91.4,91.4,2178.0,92.0,0,0,1,0.008,0.013,0,1,0,0,1,1.92,0.19,6.4,0.33,0.0,0.0
455119,Chris Martin,2025-09-23,20,90.435,94.5,2011.35,82.1,0,1,7,0.015,0.235,2,12,1,1,2,2.16,0.41,6.5,0.67,16.7,14.3
455119,Chris Martin,2025-09-25,24,91.0,95.0,2150.42,82.1,1,2,14,0.471,0.523,3,17,1,0,2,2.12,0.62,6.54,0.67,17.6,14.3
518876,Merrill Kelly,2025-08-02,69,88.612,93.6,2309.3,85.261,1,7,23,0.271,0.225,14,40,6,0,17,2.6,0.82,5.99,5.67,35.0,30.4
518876,Merrill Kelly,2025-08-08,94,88.782,93.8,2285.95,79.426,3,9,34,0.418,0.521,6,40,4,5,12,2.6,0.73,5.93,4.0,15.0,26.5
518876,Merrill Kelly,2025-08-13,99,88.829,93.5,2333.7,81.333,1,10,36,0.318,0.281,10,48,5,1,17,2.49,0.59,6.09,5.67,20.8,27.8
518876,Merrill Kelly,2025-08-19,71,88.33,93.6,2344.77,88.604,3,9,25,0.186,0.232,5,34,3,0,18,2.46,0.6,6.16,6.0,14.7,36.0
518876,Merrill Kelly,2025-08-24,96,88.19,93.2,2318.66,84.703,2,10,32,0.396,0.348,9,44,8,2,20,2.52,0.71,6.02,6.67,20.5,31.2
518876,Merrill Kelly,2025-08-30,79,87.7,92.4,2320.71,82.514,4,9,37,0.322,0.404,7,45,2,0,19,2.62,0.54,5.97,6.33,15.6,24.3
518876,Merrill Kelly,2025-09-05,94,89.618,94.1,2294.36,81.441,0,8,39,0.277,0.216,11,52,7,1,21,2.46,0.7,6.07,7.0,21.2,20.5
518876,Merrill Kelly,2025-09-10,93,88.683,94.5,2340.96,84.341,3,12,34,0.397,0.384,7,44,6,0,17,2.55,0.71,5.93,5.67,15.9,35.3
518876,Merrill Kelly,2025-09-16,56,88.434,93.8,2376.79,82.1,0,7,25,0.37,0.342,6,31,1,1,9,2.59,0.48,5.91,3.0,19.4,28.0
518876,Merrill Kelly,2025-09-21,73,89.255,93.7,2348.36,80.934,1,7,32,0.312,0.267,6,39,4,0,13,2.39,0.77,5.97,4.33,15.4,21.9
542888,Shawn Armstrong,2025-03-27,5,90.08,94.2,2467.0,78.85,0,0,2,0.985,0.458,1,3,1,0,2,1.87,0.08,6.74,0.67,33.3,0.0
542888,Shawn Armstrong,2025-03-28,14,92.279,95.5,2318.36,79.2,0,0,4,0.236,0.107,3,7,2,0,3,1.64,0.48,6.87,1.0,42.9,0.0
542888,Shawn Armstrong,2025-03-30,28,89.771,93.8,2372.5,76.45,0,0,10,0.284,0.291,1,13,1,1,3,1.83,0.01,6.79,1.0,7.7,0.0
542888,Shawn Armstrong,2025-04-04,27,91.089,94.6,2422.11,82.318,0,3,11,0.579,0.405,1,12,2,0,4,1.72,0.19,6.74,1.33,8.3,27.3
542888,Shawn Armstrong,2025-04-08,15,91.327,93.0,2344.2,82.65,0,1,2,0.494,0.467,2,4,1,1,2,1.56,0.23,6.75,0.67,50.0,50.0
542888,Shawn Armstrong,2025-04-12,16,91.788,93.8,2294.69,90.12,0,2,5,0.448,0.224,1,7,2,0,3,1.52,0.46,6.41,1.0,14.3,40.0
542888,Shawn Armstrong,2025-04-16,29,91.572,95.1,2284.72,78.086,0,2,7,0.342,0.317,2,9,2,0,4,1.71,0.23,6.89,1.33,22.2,28.6
542888,Shawn Armstrong,2025-04-18,19,92.589,95.1,2343.84,79.433,0,0,9,0.488,0.419,2,11,0,1,2,1.69,0.22,6.92,0.67,18.2,0.0
542888,Shawn Armstrong,2025-04-22,11,90.3,95.0,2379.64,88.3,0,0,1,0.385,0.36,1,2,1,1,2,1.95,-0.01,6.63,0.67,50.0,0.0
542888,Shawn Armstrong,2025-04-26,23,90.626,95.5,2328.3,93.975,0,2,4,0.323,0.203,2,6,2,0,5,1.91,0.04,6.64,1.67,33.3,50.0
542888,Shawn Armstrong,2025-04-28,34,91.021,95.4,2322.79,86.464,0,2,11,0.207,0.328,2,13,1,2,5,1.8,0.26,6.82,1.67,15.4,18.2
542888,Shawn Armstrong,2025-04-30,7,93.243,95.2,2404.0,81.45,1,1,2,0.491,0.628,1,4,1,0,2,1.66,0.57,6.71,0.67,25.0,50.0
542888,Shawn Armstrong,2025-05-01,24,90.571,94.4,2265.17,81.457,0,1,7,0.114,0.303,1,8,0,2,3,1.97,0.19,6.82,1.0,12.5,14.3
542888,Shawn Armstrong,2025-05-06,14,91.071,94.0,2266.14,81.45,0,0,4,0.291,0.211,3,7,1,0,4,1.68,0.33,6.7,1.33,42.9,0.0
542888,Shawn Armstrong,2025-05-10,13,92.038,94.5,2331.54,85.583,0,3,6,0.431,0.426,0,8,0,0,4,1.69,0.15,6.65,1.33,0.0,50.0
542888,Shawn Armstrong,2025-05-13,17,92.312,95.2,2299.82,70.475,0,0,4,,0.0,0,5,3,0,3,1.73,0.26,6.84,1.0,0.0,0.0
542888,Shawn Armstrong,2025-05-15,13,91.523,94.9,2408.38,83.96,0,1,5,0.02,0.193,2,7,0,1,3,1.62,-0.11,6.83,1.0,28.6,20.0
542888,Shawn Armstrong,2025-05-16,18,90.622,94.4,2345.22,83.625,1,2,4,0.477,0.745,0,4,0,2,0,1.86,0.19,6.94,0.0,0.0,50.0
542888,Shawn Armstrong,2025-05-22,11,92.409,94.3,2312.0,85.775,1,1,4,0.222,0.246,2,6,1,0,3,1.47,0.49,6.85,1.0,33.3,25.0
542888,Shawn Armstrong,2025-05-25,20,89.555,94.8,2457.8,76.82,0,0,5,0.033,0.01,5,10,3,0,4,1.94,0.01,6.7,1.33,50.0,0.0
542888,Shawn Armstrong,2025-05-27,25,91.8,94.7,2316.0,82.133,1,2,9,0.214,0.442,1,10,0,2,5,1.75,0.51,6.79,1.67,10.0,22.2
542888,Shawn Armstrong,2025-05-30,3,92.967,93.9,2339.0,87.1,0,0,1,0.013,0.014,0,1,0,0,1,1.64,0.71,6.93,0.33,0.0,0.0
542888,Shawn Armstrong,2025-06-01,10,90.66,94.0,2465.2,85.64,0,2,5,0.278,0.254,1,7,0,0,2,1.85,-0.09,6.82,0.67,14.3,40.0
542888,Shawn Armstrong,2025-06-04,16,90.962,95.4,2334.25,78.7,0,0,4,0.856,0.268,4,11,2,0,3,1.81,-0.29,6.68,1.0,36.4,0.0
542888,Shawn Armstrong,2025-06-05,5,88.62,94.0,2365.4,71.5,0,0,3,,0.0,1,4,1,0,1,1.87,-0.51,6.68,0.33,25.0,0.0
542888,Shawn Armstrong,2025-06-08,11,91.809,96.1,2290.45,88.633,0,1,3,0.057,0.036,3,6,1,0,2,1.93,0.07,6.85,0.67,50.0,33.3
542888,Shawn Armstrong,2025-06-10,19,92.142,95.8,2385.11,83.114,0,1,7,0.255,0.192,1,9,1,0,4,1.74,0.13,6.75,1.33,11.1,14.3
542888,Shawn Armstrong,2025-06-13,32,90.581,96.2,2414.75,84.65,0,1,6,0.201,0.118,5,12,5,0,9,1.88,0.06,6.78,3.0,41.7,16.7
542888,Shawn Armstrong,2025-06-18,12,90.375,96.2,2488.42,91.8,0,1,2,0.016,0.011,2,4,1,0,3,1.8,-0.13,6.78,1.0,50.0,50.0
542888,Shawn Armstrong,2025-06-19,25,91.336,94.3,2402.24,80.662,1,1,8,0.24,0.411,0,9,1,1,3,1.78,0.15,6.7,1.0,0.0,12.5
542888,Shawn Armstrong,2025-06-21,10,91.93,95.7,2366.3,84.467,0,0,3,0.022,0.198,2,5,0,0,3,1.81,0.23,6.67,1.0,40.0,0.0
542888,Shawn Armstrong,2025-06-27,12,89.358,94.4,,84.05,0,1,6,0.327,0.311,0,6,0,0,3,2.1,-0.27,6.69,1.0,0.0,16.7
542888,Shawn Armstrong,2025-06-28,13,88.362,93.6,2479.08,82.767,0,0,3,0.028,0.01,2,6,2,0,3,2.07,-0.35,6.51,1.0,33.3,0.0
542888,Shawn Armstrong,2025-06-30,17,91.006,94.8,2409.06,91.15,1,1,4,0.381,0.537,0,6,1,0,3,1.84,0.01,6.76,1.0,0.0,25.0
542888,Shawn Armstrong,2025-07-04,11,93.327,96.4,2321.91,76.3,0,0,2,0.076,0.048,2,4,1,0,3,1.56,0.26,6.69,1.0,50.0,0.0
542888,Shawn Armstrong,2025-07-05,3,90.467,94.0,2435.33,61.1,0,0,1,0.052,0.052,1,2,0,0,1,1.76,-0.06,6.67,0.33,50.0,0.0
542888,Shawn Armstrong,2025-07-07,14,90.571,94.8,2298.36,89.783,2,3,6,0.625,0.731,1,7,0,0,2,1.95,-0.13,6.73,0.67,14.3,50.0
542888,Shawn Armstrong,2025-07-09,15,91.113,95.0,2264.33,81.733,0,0,6,0.065,0.07,1,8,0,0,5,1.84,0.2,6.68,1.67,12.5,0.0
542888,Shawn Armstrong,2025-07-11,8,89.612,94.7,2535.5,54.35,0,0,2,0.134,0.06,3,5,1,0,2,1.73,-0.13,6.7,0.67,60.0,0.0
542888,Shawn Armstrong,2025-07-13,21,91.005,96.1,2479.48,77.167,0,2,9,0.251,0.253,2,11,1,0,4,1.82,-0.02,6.63,1.33,18.2,22.2
