player_id,name,pos,type
605113,Nick Ahmed,SS,batter
542888,Shawn Armstrong,P,pitcher
571466,Tucker Barnhart,C,batter
676961,Caleb Boushley,P,pitcher
669394,Jake Burger,1B,batter
694497,Evan Carter,CF,batter
687847,Marc Church,P,pitcher
571578,Patrick Corbin,P,pitcher
692030,Jose Corniell,P,pitcher
543056,Danny Coulombe,P,pitcher
688760,Blaine Crim,1B,batter
681168,Luis Curvelo,P,pitcher
641540,Dane Dunning,P,pitcher
677649,Ezequiel Duran,SS,batter
605218,Carl Edwards Jr.,P,pitcher
543135,Nathan Eovaldi,P,pitcher
679822,Justin Foscue,1B,batter
683227,Cody Freeman,3B,batter
642520,Gerson Garabito,P,pitcher
666969,Adolis García,RF,batter
676395,Robert Garcia,P,pitcher
592351,Jon Gray,P,pitcher
664059,Sam Haggerty,CF,batter
687957,Dustin Harris,LF,batter
641680,Jonah Heim,C,batter
680737,Michael Helman,CF,batter
676051,Codi Heuer,P,pitcher
543309,Kyle Higashioka,C,batter
592426,Luke Jackson,P,pitcher
673962,Josh Jung,3B,batter
518876,Merrill Kelly,P,pitcher
694671,Wyatt Langford,LF,batter
656641,Jacob Latz,P,pitcher
683004,Jack Leiter,P,pitcher
641816,Tyler Mahle,P,pitcher
455119,Chris Martin,P,pitcher
664208,Phil Maton,P,pitcher
641856,Billy McKinney,LF,batter
571948,Hoby Milner,P,pitcher
664238,Dylan Moore,2B,batter
680716,Jonathan Ornelas,SS,batter
696030,Alejandro Osuna,LF,batter
592626,Joc Pederson,1B,batter
607680,Kevin Pillar,CF,batter
677958,Kumar Rocker,P,pitcher
608369,Corey Seager,SS,batter
543760,Marcus Semien,2B,batter
669701,Josh Smith,SS,batter
456781,Donovan Solano,1B,batter
665750,Leody Taveras,CF,batter
642133,Rowdy Tellez,1B,batter
657097,Jacob Webb,P,pitcher
668390,Cole Winn,P,pitcher
594798,Jacob deGrom,P,pitcher
