Player,Age,Sprint Speed (ft/s),Lg Rank,Pos Rank,Age Rank,% Rank
Donovan Solano,37,25.0,581,56,3,6
Kyle Higashioka,35,25.1,577,65,11,7
Marcus Semien,34,28.5,120,19,2,81
Joc Pederson,33,25.2,575,43,16,7
Corey Seager,31,25.3,566,56,28,8
Jonah Heim,30,25.2,569,62,54,8
Billy McKinney,30,26.8,405,60,34,34
Rowdy Tellez,30,23.5,612,61,59,1
Sam Haggerty,31,28.9,72,8,4,89
Dylan Moore,32,27.7,266,43,11,57
Adolis García,32,27.0,371,50,17,40
Jake Burger,29,27.9,227,10,20,63
Josh Smith,27,27.5,308,33,36,50
Josh Jung,27,26.6,443,54,55,28
Ezequiel Duran,26,28.8,84,1,9,87
Michael Helman,29,29.4,27,12,3,96
Cody Freeman,24,27.5,299,46,32,52
Dustin Harris,25,29.1,51,4,7,92
Evan Carter,22,29.0,60,25,4,90
Wyatt Langford,23,28.9,74,10,10,88
Alejandro Osuna,22,28.5,125,20,8,80
