game_pk,game_date,game_type,batter,inning,inning_topbot,at_bat_number,events,home_team,away_team,on_1b,on_2b,on_3b,post_on_1b,post_on_2b,post_on_3b
776147,2025-09-28,R,677649,2,Top,12,double,CLE,TEX,,,,,677649,
776147,2025-09-28,R,696030,2,Top,15,double,CLE,TEX,664238,641680,,,696030,
776147,2025-09-28,R,673962,3,Top,22,double,CLE,TEX,683227,,,,673962,683227
776158,2025-09-27,R,680737,1,Top,1,double,CLE,TEX,,,,,680737,
776158,2025-09-27,R,673962,1,Top,3,double,CLE,TEX,,680737,,,673962,
776175,2025-09-26,R,642133,1,Top,4,double,CLE,TEX,683227,592626,,,642133,683227
776183,2025-09-25,R,641856,8,Bot,58,double,TEX,MIN,,,,,641856,
776192,2025-09-24,R,680737,3,Bot,19,double,TEX,MIN,,,,,,680737
776226,2025-09-21,R,696030,1,Bot,6,double,TEX,MIA,694671,,,,696030,694671
776251,2025-09-19,R,592626,2,Bot,10,double,TEX,MIA,,,,,592626,
776292,2025-09-17,R,673962,2,Top,14,double,HOU,TEX,,696030,,,673962,
776301,2025-09-16,R,696030,2,Top,12,double,HOU,TEX,543309,,,,696030,543309
776301,2025-09-16,R,673962,8,Top,68,double,HOU,TEX,543309,,,,673962,
776335,2025-09-14,R,683227,5,Top,35,double,NYM,TEX,,,,,683227,
776349,2025-09-13,R,641680,5,Top,34,double,NYM,TEX,,,,,641680,
776349,2025-09-13,R,683227,7,Top,53,double,NYM,TEX,,,,,683227,
776349,2025-09-13,R,694671,8,Top,60,double,NYM,TEX,669701,,,,694671,669701
776349,2025-09-13,R,642133,8,Top,64,double,NYM,TEX,673962,,694671,,677649,673962
776359,2025-09-12,R,680737,1,Top,9,double,NYM,TEX,683227,,641680,,680737,
776359,2025-09-12,R,669701,4,Top,32,double,NYM,TEX,,,,,669701,
776359,2025-09-12,R,673962,9,Top,70,double,NYM,TEX,,,,,673962,
776395,2025-09-09,R,543309,5,Bot,44,double,TEX,MIL,,,694671,,543309,
776406,2025-09-08,R,543309,5,Bot,31,double,TEX,MIL,664238,,,,543309,664238
776406,2025-09-08,R,680737,7,Bot,50,double,TEX,MIL,641680,,,,680737,
776406,2025-09-08,R,673962,8,Bot,59,double,TEX,MIL,,,,,673962,
776418,2025-09-07,R,673962,6,Bot,43,double,TEX,HOU,683227,,,,673962,
776449,2025-09-05,R,694671,1,Bot,6,double,TEX,HOU,,,,,694671,
776449,2025-09-05,R,694671,9,Bot,75,double,TEX,HOU,,,,,694671,
776449,2025-09-05,R,687957,12,Bot,95,double,TEX,HOU,694671,683227,,,,
776468,2025-09-03,R,677649,2,Top,13,double,AZ,TEX,,,,,677649,
776481,2025-09-02,R,677649,9,Top,68,double,AZ,TEX,,,,,,677649
776508,2025-08-31,R,669701,5,Top,34,double,ATH,TEX,,680737,,,669701,
776508,2025-08-31,R,592626,5,Top,36,double,ATH,TEX,,669701,,,592626,
776508,2025-08-31,R,673962,9,Top,75,double,ATH,TEX,,666969,,,673962,
776524,2025-08-30,R,680737,2,Top,13,double,ATH,TEX,543309,673962,,,680737,
776524,2025-08-30,R,673962,3,Top,23,double,ATH,TEX,642133,,694671,,673962,642133
776524,2025-08-30,R,592626,7,Top,52,double,ATH,TEX,,,,,592626,
776524,2025-08-30,R,673962,7,Top,55,double,ATH,TEX,,592626,,,673962,
776538,2025-08-29,R,543309,6,Top,44,double,ATH,TEX,673962,,,,543309,673962
776563,2025-08-27,R,673962,1,Bot,11,double,TEX,LAA,592626,,,,673962,592626
776563,2025-08-27,R,666969,4,Bot,37,double,TEX,LAA,,,,,666969,
776563,2025-08-27,R,694671,5,Bot,48,double,TEX,LAA,,,,,694671,
776563,2025-08-27,R,677649,5,Bot,49,double,TEX,LAA,,694671,,,677649,
776563,2025-08-27,R,666969,7,Bot,69,double,TEX,LAA,677649,680737,669701,,666969,677649
776575,2025-08-26,R,666969,1,Bot,8,double,TEX,LAA,608369,694671,,,666969,608369
776611,2025-08-24,R,666969,5,Bot,42,double,TEX,CLE,,,,,666969,
776623,2025-08-23,R,694671,3,Bot,20,double,TEX,CLE,,,,,694671,
776623,2025-08-23,R,677649,4,Bot,34,double,TEX,CLE,,641680,683227,,677649,
776623,2025-08-23,R,694671,6,Bot,48,double,TEX,CLE,680737,,,,694671,680737
776641,2025-08-22,R,677649,3,Bot,20,double,TEX,CLE,,,,,677649,
776641,2025-08-22,R,694671,9,Bot,64,double,TEX,CLE,,,,,694671,
776641,2025-08-22,R,592626,9,Bot,66,double,TEX,CLE,,608369,,,,
776657,2025-08-21,R,608369,1,Top,2,double,KC,TEX,,,,,608369,
776666,2025-08-20,R,641680,7,Top,53,double,KC,TEX,,,,,641680,
776666,2025-08-20,R,543309,9,Top,78,double,KC,TEX,543760,608369,694671,,543309,
776690,2025-08-18,R,608369,8,Top,63,double,KC,TEX,694671,,,,608369,694671
776710,2025-08-17,R,543760,4,Top,26,double,TOR,TEX,,,,,543760,
776710,2025-08-17,R,683227,4,Top,28,double,TOR,TEX,669394,,,,683227,669394
776710,2025-08-17,R,608369,9,Top,72,double,TOR,TEX,,,,,608369,
776723,2025-08-16,R,677649,2,Top,11,double,TOR,TEX,,,,,677649,
776723,2025-08-16,R,694671,5,Top,41,double,TOR,TEX,,,,,694671,
776735,2025-08-15,R,669701,2,Top,13,double,TOR,TEX,,,,,669701,
776746,2025-08-13,R,694497,4,Bot,30,double,TEX,AZ,,,,,694497,
776746,2025-08-13,R,673962,8,Bot,66,double,TEX,AZ,669394,,,,673962,
776764,2025-08-12,R,543309,7,Bot,59,double,TEX,AZ,,,,,543309,
776785,2025-08-11,R,673962,3,Bot,25,double,TEX,AZ,,,,,673962,
776785,2025-08-11,R,608369,3,Bot,28,double,TEX,AZ,,673962,,,608369,
776785,2025-08-11,R,669701,6,Bot,48,double,TEX,AZ,,,,,669701,
776785,2025-08-11,R,666969,9,Bot,73,double,TEX,AZ,,,,,666969,
776810,2025-08-09,R,664059,3,Bot,21,double,TEX,PHI,,,,,664059,
776810,2025-08-09,R,666969,4,Bot,30,double,TEX,PHI,,,,,,
776821,2025-08-08,R,669394,6,Bot,56,double,TEX,PHI,,,,,669394,
776845,2025-08-06,R,677649,3,Bot,21,double,TEX,NYY,,,,,677649,
776855,2025-08-05,R,543760,1,Bot,6,double,TEX,NYY,,,,,543760,
776855,2025-08-05,R,669701,3,Bot,20,double,TEX,NYY,,,,,669701,
776855,2025-08-05,R,592626,4,Bot,27,double,TEX,NYY,,,,,592626,
776855,2025-08-05,R,669701,7,Bot,50,double,TEX,NYY,,,,,669701,
776855,2025-08-05,R,666969,8,Bot,56,double,TEX,NYY,,,,,666969,
776871,2025-08-04,R,694671,2,Bot,20,double,TEX,NYY,,,,,694671,
776883,2025-08-03,R,666969,4,Top,26,double,SEA,TEX,,,,,666969,
776883,2025-08-03,R,642133,4,Top,29,double,SEA,TEX,,666969,,,642133,
776897,2025-08-02,R,642133,4,Top,26,double,SEA,TEX,,,,,642133,
776897,2025-08-02,R,694671,9,Top,65,double,SEA,TEX,,,,,694671,
776908,2025-08-01,R,642133,3,Top,18,double,SEA,TEX,592626,,,,642133,
776908,2025-08-01,R,543760,3,Top,22,double,SEA,TEX,,669701,,,543760,
776908,2025-08-01,R,664059,7,Top,51,double,SEA,TEX,,,,,664059,
776923,2025-07-31,R,543760,6,Top,44,double,SEA,TEX,608369,,,,543760,608369
776932,2025-07-30,R,543760,4,Top,24,double,LAA,TEX,,,,,543760,
776932,2025-07-30,R,694671,6,Top,44,double,LAA,TEX,,,,,694671,
776958,2025-07-28,R,694671,6,Top,45,double,LAA,TEX,,,,,694671,
776958,2025-07-28,R,694497,8,Top,65,double,LAA,TEX,,,,,694497,
776981,2025-07-27,R,694671,1,Bot,9,double,TEX,ATL,666969,543760,669701,,694671,
776993,2025-07-26,R,641680,9,Bot,74,double,TEX,ATL,,664059,,,641680,
777009,2025-07-25,R,694671,4,Bot,31,double,TEX,ATL,,543760,,,694671,
777009,2025-07-25,R,664059,5,Bot,40,double,TEX,ATL,680737,,,,664059,
777033,2025-07-23,R,608369,1,Bot,5,double,TEX,ATH,,,,,608369,
777033,2025-07-23,R,641680,7,Bot,51,double,TEX,ATH,694671,,,,641680,
777043,2025-07-22,R,608369,3,Bot,21,double,TEX,ATH,,,,,608369,
777057,2025-07-21,R,683227,5,Bot,39,double,TEX,ATH,673962,669701,,,683227,673962
777057,2025-07-21,R,669701,7,Bot,56,double,TEX,ATH,,,,,669701,
777073,2025-07-20,R,608369,1,Bot,6,double,TEX,DET,,,,,608369,
777073,2025-07-20,R,666969,7,Bot,50,double,TEX,DET,,,,,666969,
777098,2025-07-18,R,641680,6,Bot,40,double,TEX,DET,,,,,641680,
777098,2025-07-18,R,543309,8,Bot,54,double,TEX,DET,,,,,683227,
777098,2025-07-18,R,608369,8,Bot,57,double,TEX,DET,669701,,683227,,608369,
777125,2025-07-13,R,677649,2,Top,13,double,HOU,TEX,,,694497,,677649,
777125,2025-07-13,R,694497,4,Top,25,double,HOU,TEX,,,,,694497,
777137,2025-07-12,R,664059,3,Top,19,double,HOU,TEX,,,,,664059,
777137,2025-07-12,R,608369,6,Top,39,double,HOU,TEX,,,,,608369,
