Rk,Name,W,L,W-L%,ERA,G,GS,GF,CG,SHO,SV,IP,H,R,ER,HR,BB,IBB,SO,HBP,BK,WP,BF,WHIP,SO9,SO/W,Name-additional,BS
1,Gerson Garabito,0,0,,0,1,0,0,0,0,0,2,2,0,0,0,0,0,2,0,0,0,8,1,9,,garabge01,0
2,Jacob Latz,0,0,,0,2,0,1,0,0,1,4,2,0,0,0,0,0,4,0,0,0,14,0.5,9,,latzja01,0
3,Cole Winn,0,0,,0,4,0,0,0,0,0,4.2,3,0,0,0,0,0,5,0,0,0,16,0.643,9.6,,winnco01,0
4,Jon Gray,0,1,0,12.27,2,0,0,0,0,0,3.2,4,5,5,1,3,0,4,0,0,0,18,1.909,9.8,1.33,grayjo02,2
5,Marc Church,0,0,,13.5,2,0,0,0,0,0,1.1,2,2,2,0,2,0,1,0,0,0,8,3,6.8,0.5,churcma01,1
6,Luke Jackson,0,2,0,2.08,15,0,11,0,0,9,13,12,4,3,1,2,0,9,0,0,0,52,1.077,6.2,4.5,jackslu01,2
7,Hoby Milner,0,1,0,2.82,24,0,1,0,0,0,22.1,23,10,7,1,3,0,22,1,0,0,94,1.164,8.9,7.33,milneho01,4
8,Danny Coulombe,0,0,,27,2,0,0,0,0,0,1,3,3,3,0,0,0,2,0,0,0,6,3,18,,couloda01,0
9,Chris Martin,0,0,,3,20,0,2,0,0,2,15,15,5,5,4,1,1,19,0,0,1,59,1.067,11.4,19,martich02,3
10,Dane Dunning,0,0,,3,2,0,2,0,0,2,6,6,2,2,1,3,0,4,0,0,1,26,1.5,6,1.33,dunnida01,0
11,Caleb Boushley,0,0,,3,1,0,1,0,0,1,3,2,1,1,0,0,0,4,0,0,1,11,0.667,12,,boushca01,0
12,Luis Curvelo,0,0,,3,4,0,0,0,0,0,3,3,1,1,0,0,0,3,0,0,0,12,1,9,,curvelu01,2
13,Jacob Webb,0,0,,3.72,10,0,1,0,0,1,9.2,8,6,4,1,6,0,9,1,0,0,44,1.448,8.4,1.5,webbja01,2
14,Shawn Armstrong,1,1,0.5,3.86,24,0,9,0,0,9,21,15,10,9,2,6,0,21,2,0,1,86,1,9,3.5,armstsh01,3
15,Robert Garcia,0,3,0,5.04,31,0,11,0,0,9,25,32,15,14,5,9,0,31,0,0,0,115,1.64,11.2,3.44,garciro04,7
16,Phil Maton,0,2,0,5.63,8,0,5,0,0,3,8,5,5,5,2,4,0,13,1,0,0,33,1.125,14.6,3.25,matonph01,3
,Team Total,1,10,0.091,3.85,152,0,44,0,0,37,142.2,137,69,61,18,39,1,153,5,0,4,602,1.234,9.7,3.92,-9999,29
