Name,Team,G,AVG,NameASCII,PlayerId,MLBAMID
"Corey Seager","TEX",102,0.271052631,"Corey Seager",13624,608369
"Dylan Moore","TEX",18,0.259259259,"Dylan Moore",18042,664238
"Rowdy Tellez","TEX",50,0.258620689,"Rowdy Tellez",15679,642133
"Sam Haggerty","TEX",64,0.253086419,"Sam Haggerty",18054,664059
"Josh Jung","TEX",131,0.251037344,"Josh Jung",26299,673962
"Josh Smith","TEX",144,0.25050505,"Josh Smith",26396,669701
"Evan Carter","TEX",63,0.24742268,"Evan Carter",27790,694497
"Wyatt Langford","TEX",134,0.241308793,"Wyatt Langford",33333,694671
"Kyle Higashioka","TEX",94,0.240924092,"Kyle Higashioka",5517,543309
"Leody Taveras","TEX",30,0.240506329,"Leody Taveras",18900,665750
"Jake Burger","TEX",103,0.235955056,"Jake Burger",22275,669394
"Michael Helman","TEX",38,0.232323232,"Michael Helman",24605,680737
"Marcus Semien","TEX",127,0.229787234,"Marcus Semien",12533,543760
"Cody Freeman","TEX",36,0.228070175,"Cody Freeman",25629,683227
"Adolis García","TEX",135,0.226824457,"Adolis Garcia",19287,666969
"Ezequiel Duran","TEX",90,0.224390243,"Ezequiel Duran",23733,677649
"Jonah Heim","TEX",124,0.212658227,"Jonah Heim",16930,641680
"Alejandro Osuna","TEX",63,0.211920529,"Alejandro Osuna",27915,696030
"Kevin Pillar","TEX",20,0.209302325,"Kevin Pillar",12434,607680
"Billy McKinney","TEX",6,0.2,"Billy McKinney",15654,641856
"Dustin Harris","TEX",19,0.2,"Dustin Harris",25705,687957
"Joc Pederson","TEX",96,0.181132075,"Joc Pederson",11899,592626
