Name,Team,W,L,HLD,SV,BS,G,GS,IP,HR,BB,K/9,BB/9,HR/9,BABIP,LOB%,GB%,HR/FB,vFA (pi),ERA,xERA,FIP,xFIP,WAR,WHIP,AVG,NameASCII,PlayerId,MLBAMID
"Nathan Eovaldi","TEX",11,3,0,0,0,22,22,130,10,21,8.930769230769231,1.4538461538461538,0.6923076923076923,0.24316109422492402,0.86538462,0.503012048,0.096153846,94.3563387784091,1.7307692307692308,3.019513802275403,2.7966747797452487,3.0300662315808813,3.7312192916870117,0.8538461538461538,0.19230769230769232,"Nathan Eovaldi",9132,543135
"Jacob deGrom","TEX",12,8,0,0,0,30,30,172.2,26,37,9.64285771095881,1.928571542191762,1.3552124350536705,0.22966507177033493,0.83598726,0.377828054,0.138297872,97.56576657315046,2.971042646079201,3.3567820548562897,3.64478885788509,3.3659104120036734,3.3914434909820557,0.920849475100571,0.19395866454689983,"Jacob deGrom",10954,594798
"Jack Leiter","TEX",10,10,0,0,0,29,29,151.2,18,67,8.782418171468423,3.9758244424890834,1.0681319397731865,0.26715686274509803,0.74798619,0.378823529,0.095238095,97.37845493027888,3.8571431158476184,4.453724874418028,4.150521001694878,4.528908261114586,2.2582685947418213,1.279120964913569,0.22125435540069685,"Jack Leiter",30146,683004
"Tyler Mahle","TEX",6,4,0,0,0,16,16,86.2,5,29,6.853846354964222,3.011538549908522,0.5192307844669866,0.2601626016260163,0.84615385,0.388,0.049019607,92.26001690423976,2.1807692947613435,4.226315368541248,3.3659055557476703,4.430414165165692,1.9284228086471558,1.1307692639503264,0.21766561514195584,"Tyler Mahle",16358,641816
"Patrick Corbin","TEX",7,11,0,0,0,31,30,155.1,21,51,7.590129003897377,2.9549357190745513,1.2167382372659916,0.3063457330415755,0.73275862,0.39614561,0.121387283,91.48894904641544,4.403433620581684,4.749084740282837,4.248870260254494,4.2084468777685595,1.8691776394844055,1.3648069116422763,0.26436781609195403,"Patrick Corbin",9323,571578
"Shawn Armstrong","TEX",4,3,12,9,3,71,2,74,5,20,9.000001855799052,2.4324329339997437,0.6081082334999359,0.19553072625698323,0.76271186,0.358695652,0.058139534,93.63777066454475,2.3108112872997566,3.0239405102126415,3.0675687367067943,3.9809416422378074,1.3512794971466064,0.8108109779999146,0.15503875968992248,"Shawn Armstrong",12857,542888
"Jacob Latz","TEX",2,0,1,1,0,33,8,85.2,7,37,7.984436745780825,3.8871599946564546,0.7354086476377076,0.2719298245614035,0.81081081,0.378723404,0.07368421,94.3015350877193,2.836576212316872,4.11439456613237,3.718793975062111,4.3662481558993775,1.2603907585144043,1.2373542325332858,0.22186495176848875,"Jacob Latz",21306,656641
"Hoby Milner","TEX",3,4,18,0,4,73,0,70.1,5,21,7.421803094743656,2.6872045687864965,0.6398106116158324,0.30434782608695654,0.66666667,0.526570048,0.073529411,88.02061222484276,3.838863669694995,3.7926009016758657,3.39106056285312,3.957481675600454,0.9622408747673035,1.265403209640202,0.2518518518518518,"Hoby Milner",13346,571948
"Merrill Kelly","TEX",3,3,0,0,0,10,10,55.1,9,10,7.481927882778854,1.626506061473664,1.4638554553262977,0.2976190476190476,0.76655052,0.392045454,0.125,91.55392272213855,4.228915759831526,4.392722245864993,4.183329113378704,4.0749899060434,0.7815871834754944,1.2469879804631423,0.2645739910313901,"Merrill Kelly",11156,518876
"Phil Maton","TEX",3,2,2,3,3,23,0,23,2,8,12.91304669082808,3.130435561412868,0.782608890353217,0.26666666666666666,0.70754717,0.326086956,0.117647058,,3.5217400065894764,3.339135453821214,2.700353601343889,2.7094652710675664,0.5684518218040466,0.9565219770983764,0.175,"Phil Maton",18064,664208
"Chris Martin","TEX",2,6,13,2,3,49,0,42.1,6,8,9.141734205595585,1.700787759180574,1.2755908193854306,0.31896551724137934,0.77981651,0.426229508,0.139534883,94.89367228403141,2.9763785785660044,3.774481423110095,3.5839553102127715,3.307454241119233,0.5514674782752991,1.2047246627529067,0.2606060606060606,"Chris Martin",11847,455119
"Robert Garcia","TEX",4,8,15,9,7,71,0,64,8,22,9.562502279878206,3.093750737607655,1.1250002682209654,0.29411764705882354,0.78796562,0.394285714,0.121212121,94.54398114965596,2.9531257040800343,3.806900257396373,3.713261456042561,3.6781801160603877,0.5295040607452393,1.250000298023295,0.23577235772357724,"Robert Garcia",23363,676395
"Kumar Rocker","TEX",4,5,0,0,0,14,14,64.1,11,23,7.834197510571851,3.2176168346991534,1.5388602252908994,0.31088082901554404,0.6779661,0.48275862,0.177419354,95.89677435862446,5.735751748811534,5.7365986239702424,4.876069098333865,4.13909242116502,0.27726396918296814,1.461140011892369,0.27307692307692305,"Kumar Rocker",31843,677958
"Jacob Webb","TEX",5,4,7,1,2,55,0,66,10,19,7.9090918233573015,2.5909093904101503,1.3636365212685002,0.21910112359550563,0.82142857,0.318918918,0.105263157,93.50731860632185,3.0000003467907006,3.229065462643103,4.301803119736504,4.551276404718496,0.22132225334644318,1.030303149402867,0.1991869918699187,"Jacob Webb",19274,657097
"Caleb Boushley","TEX",0,0,0,1,0,25,1,43.1,5,14,8.515385614880561,2.907692648983606,1.038461660351288,0.37404580152671757,0.58730159,0.407407407,0.111111111,92.2828379573985,6.02307763003747,5.943522553106484,3.850521017559897,3.951558010167321,0.21433069556951523,1.569230953419724,0.3050847457627119,"Caleb Boushley",19736,676961
"Cole Winn","TEX",0,1,4,0,0,33,0,41.2,3,17,7.560001153564629,3.67200056030282,0.6480000988769682,0.1941747572815534,0.90452261,0.471153846,0.078947368,96.29862490968208,1.5120002307129259,4.193895339217435,3.9031364353943054,4.373202762213356,0.210333451628685,0.9600001464843974,0.16312056737588654,"Cole Winn",22113,668390
"Luke Jackson","TEX",2,5,3,9,2,39,0,35,4,19,6.171429916693533,4.885715350715714,1.0285716527822555,0.27184466019417475,0.69620253,0.537735849,0.129032258,94.43761313833842,4.114286611129022,4.723800560049406,5.049422449773763,4.929248673824551,-0.3334997892379761,1.457143174774862,0.24427480916030533,"Luke Jackson",11752,592426
