year,team_id,team,W,L,G,RS,RA,home_wp,away_wp,onerun_wp,onerun_n,xi_wp,ERA,WHIP,K9,BB9,SV,SVO,BS,sv_pct,FIP,era_fip_diff,HR9,babip_against,go_ao,ir_pct,SB,CS,sb_pct,LOB,OPS,babip_off,SV_top1,Top1_SV_Ratio
2015,141,Toronto Blue Jays,93,69,162,891,670,0.654320987654321,0.4938271604938271,0.3488372093023256,43,0.5714285714285714,3.8,1.21,6.98,2.48,34,56,22,0.6071428571428571,4.13,-0.33,1.08,0.28,1.02,0.301,88,23,0.7927927927927928,1057,0.797,0.298,20,0.5882352941176471
2015,147,New York Yankees,87,75,162,764,698,0.5555555555555556,0.5185185185185185,0.4893617021276595,47,0.3076923076923077,4.03,1.3,8.46,2.93,48,60,12,0.8,4.004,0.026,1.124,0.303,1.19,0.284,63,25,0.7159090909090909,1151,0.744,0.283,36,0.75
2015,110,Baltimore Orioles,81,81,162,713,693,0.6025641025641025,0.4047619047619047,0.4901960784313725,51,0.5454545454545454,4.05,1.32,7.73,3.03,43,58,15,0.7413793103448276,4.151,-0.101,1.092,0.299,1.1,0.318,44,25,0.6376811594202898,990,0.728,0.291,36,0.8372093023255814
2015,139,Tampa Bay Rays,80,82,162,644,642,0.5,0.4871794871794871,0.4642857142857143,56,0.1333333333333333,3.74,1.23,8.39,2.95,60,87,27,0.6896551724137931,3.95,-0.21,1.084,0.286,0.86,0.276,87,45,0.6590909090909091,1075,0.72,0.3,41,0.6833333333333333
2015,111,Boston Red Sox,78,84,162,748,753,0.5308641975308642,0.4320987654320987,0.5128205128205128,39,0.5,4.31,1.36,7.57,2.97,40,61,21,0.6557377049180327,4.204,0.106,1.106,0.307,1.08,0.316,71,27,0.7244897959183674,1142,0.74,0.305,25,0.625
2015,118,Kansas City Royals,95,67,162,724,641,0.6296296296296297,0.5432098765432098,0.575,40,0.625,3.73,1.28,7.19,3.03,56,76,20,0.7368421052631579,4.078,-0.348,0.961,0.288,0.96,0.258,104,34,0.7536231884057971,1079,0.734,0.301,32,0.5714285714285714
2015,142,Minnesota Twins,83,79,162,696,700,0.5679012345679012,0.4567901234567901,0.5121951219512195,41,0.4285714285714285,4.07,1.33,6.52,2.58,45,60,15,0.75,4.133,-0.063,1.017,0.303,1.03,0.318,70,38,0.6481481481481481,993,0.704,0.292,32,0.7111111111111111
2015,114,Cleveland Indians,81,80,161,669,640,0.4875,0.5185185185185185,0.4545454545454545,33,0.5555555555555556,3.67,1.19,8.84,2.67,38,50,12,0.76,3.657,0.013,1.012,0.29,1.08,0.288,86,28,0.7543859649122807,1147,0.726,0.299,34,0.8947368421052632
2015,145,Chicago White Sox,76,86,162,622,701,0.4938271604938271,0.4444444444444444,0.4915254237288136,59,0.7222222222222222,3.98,1.32,8.42,2.94,37,52,15,0.7115384615384616,3.856,0.124,1.004,0.314,1.06,0.319,68,42,0.6181818181818182,1065,0.686,0.296,34,0.918918918918919
2015,116,Detroit Tigers,74,87,161,689,803,0.4691358024691358,0.45,0.5416666666666666,48,0.5294117647058824,4.64,1.37,6.84,3.04,35,59,24,0.5932203389830508,4.493,0.147,1.2,0.301,0.97,0.332,83,51,0.6194029850746269,1111,0.748,0.322,27,0.7714285714285715
2015,140,Texas Rangers,88,74,162,751,733,0.5308641975308642,0.5555555555555556,0.5510204081632653,49,0.5555555555555556,4.24,1.36,6.83,3.17,45,62,17,0.7258064516129032,4.381,-0.141,1.067,0.296,1.08,0.295,101,39,0.7214285714285714,1130,0.738,0.3,35,0.7777777777777778
