Team,W,L,HLD,SV,BS,G,GS,IP,K/9,BB/9,HR/9,BABIP,LOB%,GB%,HR/FB,vFA (pi),ERA,xERA,FIP,xFIP,WAR,HR,BB,IBB,HBP,WP,BK,SO,Hard%,League
TEX,81,81,80,37,29,685,162,1443.0,8.382537246775353,2.887734185459069,1.072765183367084,0.2716585739841554,0.75835987,0.407370764,0.10783699,94.44671462200306,3.492723852823064,4.085613909406073,3.888428149162873,4.043018745210155,18.737141930498183,172,463,24,50,43,4,1344,0.32370225,AL
CLE,88,74,111,47,22,693,162,1442.0,8.619279611732244,3.2891820096907263,1.0547851226522442,0.2860056079530971,0.74782928,0.412432165,0.106289308,93.67126026910675,3.701109927412905,3.9840183673498113,3.9520573402214767,4.12845507606358,16.46419015992433,169,527,19,54,43,9,1381,0.30921535,AL
BOS,89,73,83,45,27,698,162,1448.1,8.457307897552486,3.293440988760336,1.0191024946352738,0.2906514172053704,0.73839662,0.449831162,0.112405757,95.05924857969298,3.715995681657888,4.104274907274937,3.976793459778873,4.057850538682008,18.44517156528309,164,530,17,73,53,5,1361,0.31968391,AL
KCR,82,80,88,47,20,709,162,1436.2,7.96218174438154,2.9944318440711064,1.071229801958492,0.2819940476190476,0.75018849,0.419107057,0.107277289,94.12955942502803,3.733643052440124,4.0671704016503485,4.005206007906667,4.168453681081118,17.493542730808258,171,478,17,45,54,3,1271,0.31651594,AL
HOU,87,75,89,45,15,680,162,1442.0,9.386963203863454,3.1705966140709005,1.2420250515750182,0.2804878048780488,0.74980575,0.404737646,0.126509853,93.75560600341235,3.8633844569092273,3.740010329126003,4.020711969162287,3.908476137631764,17.965851018976537,199,508,7,58,38,4,1504,0.32114948,AL
SEA,90,72,90,43,26,712,162,1462.2,8.77438531290817,2.7935280028473413,1.181403913098435,0.2856068204613841,0.73261225,0.429296591,0.122605363,95.06773581075424,3.870328444473519,3.9992018228739017,3.974698821265165,3.9188855312453006,14.21818483581592,192,454,26,74,53,3,1426,0.3259933,AL
NYY,94,68,100,43,21,695,162,1439.2,9.00208459116585,3.482056331444013,1.0940033357319612,0.2762918722409763,0.72636816,0.436997991,0.11808367,94.31634160983036,3.9071547704712897,3.846985439090609,3.9943630650642064,4.001210251015593,16.29745574342087,175,557,12,57,53,9,1440,0.30141756,AL
TBR,77,85,87,35,28,679,162,1431.1,8.903586994836468,2.9804380194579703,1.2890080041959575,0.2812006319115324,0.74066798,0.428463285,0.134338138,95.59259718436648,3.942478139662758,3.929299439788245,4.152369735068204,3.934177494848368,15.299493113940116,205,474,11,67,33,6,1416,0.328,AL
DET,87,75,72,40,21,670,162,1436.1,8.615688829175365,3.038988423381856,1.1717336807678498,0.2856415478615071,0.73026647,0.429518664,0.12458361,94.69491988671427,3.9726157946888594,3.964187892070047,4.049269605698282,3.967917111995686,15.17828652705066,187,485,14,59,50,4,1375,0.31792751,AL
TOR,94,68,95,42,23,732,162,1438.0,8.949931349674136,3.2357444110360336,1.3080668895677583,0.2859362859362859,0.73381384,0.395446671,0.127750611,93.54020121675022,4.187065785267131,4.304048618842747,4.264482744925576,4.1290762773496,11.697214056097437,209,517,25,72,32,9,1430,0.33505408,AL
