batter,player_name,game_date,PA,Pitches_seen,EV,Max_EV,LA,Barrel,Hard_Hit,Sweet_Spot,Total_BIP,xBA,xSLG,xwOBA,Whiff,Swing,Bat_Speed,Swing_Length,Attack_Angle,Barrel_pct,Hard_Hit_pct,Sweet_Spot_pct,Whiff_pct
456781,Donovan Solano,2025-09-27,3,9,97.2,97.2,18.0,0,1,1,1,0.403,0.613,0.142,3,4,66.48,6.74,4.33,0.0,100.0,100.0,75.0
543309,Kyle Higashioka,2025-03-27,4,14,98.15,109.3,27.667,1,3,2,6,0.212,0.778,0.402,3,9,72.0,7.42,16.84,16.7,50.0,33.3,33.3
543309,Kyle Higashioka,2025-03-30,3,8,95.4,106.5,-2.667,0,2,1,3,0.427,0.529,0.422,0,3,73.9,7.0,4.31,0.0,66.7,33.3,0.0
543309,Kyle Higashioka,2025-04-01,4,25,86.48,95.6,32.0,0,1,1,5,0.008,0.009,0.35,1,7,71.29,7.14,10.48,0.0,20.0,20.0,14.3
543309,Kyle Higashioka,2025-04-04,3,6,91.9,96.8,29.0,0,1,1,2,0.477,0.589,0.311,1,4,60.48,6.72,12.65,0.0,50.0,50.0,25.0
543309,Kyle Higashioka,2025-04-05,4,15,86.26,99.4,31.6,0,1,0,5,0.163,0.2,0.111,0,5,73.94,7.36,20.87,0.0,20.0,0.0,0.0
543309,Kyle Higashioka,2025-04-07,3,9,100.933,103.1,13.333,0,3,3,3,0.689,0.882,0.677,0,3,70.6,6.6,10.92,0.0,100.0,100.0,0.0
543309,Kyle Higashioka,2025-04-09,4,17,82.925,97.5,5.75,0,1,0,4,0.244,0.267,0.227,2,6,69.05,7.58,16.83,0.0,25.0,0.0,33.3
543309,Kyle Higashioka,2025-04-13,3,12,71.32,94.6,-0.4,0,0,2,5,0.126,0.126,0.077,1,6,64.52,6.45,3.72,0.0,0.0,40.0,16.7
543309,Kyle Higashioka,2025-04-15,3,11,98.133,106.7,26.0,2,2,2,3,0.614,1.952,0.7,2,6,66.2,6.85,5.98,66.7,66.7,66.7,33.3
543309,Kyle Higashioka,2025-04-17,4,10,75.14,86.3,39.8,0,0,3,5,0.334,0.379,0.312,0,5,67.28,6.78,11.56,0.0,0.0,60.0,0.0
543309,Kyle Higashioka,2025-04-19,3,9,93.7,100.7,32.667,1,2,1,3,0.56,1.23,0.497,1,4,71.28,7.2,13.97,33.3,66.7,33.3,25.0
543309,Kyle Higashioka,2025-04-22,4,10,80.4,87.5,14.667,0,0,0,3,0.034,0.034,0.025,1,4,65.62,6.8,10.68,0.0,0.0,0.0,25.0
543309,Kyle Higashioka,2025-04-23,3,10,89.0,99.7,1.25,0,2,1,4,0.49,0.582,0.314,2,7,67.63,6.96,16.47,0.0,50.0,25.0,28.6
