Player,Season,BBE,GB %,FB %,LD %,PU %,Pull %,Straight %,Oppo %,Weak %,Topped %,Under %,Flare/Burner %,Solid %,Launch Angle Sweet-Spot %,Barrel %
Evan Carter,2025,153,38.6,23.5,28.1,9.8,37.3,40.5,22.2,6.5,33.3,27.5,20.9,5.9,34.0,5.9
Jake Burger,2025,266,39.5,28.6,22.9,9.0,34.6,38.0,27.4,5.6,27.8,27.1,17.3,8.3,33.5,13.9
Corey Seager,2025,295,44.7,31.9,21.7,1.7,34.2,42.7,23.1,2.0,29.2,20.0,26.8,6.8,34.2,15.3
Justin Foscue,2025,6,16.7,50.0,16.7,16.7,50.0,33.3,16.7,0.0,16.7,50.0,16.7,16.7,16.7,0.0
Marcus Semien,2025,386,34.5,33.4,23.1,9.1,44.6,36.8,18.7,3.1,23.8,33.7,24.1,8.3,35.8,6.7
Dylan Moore,2025,140,35.0,32.1,20.0,12.9,42.9,35.0,22.1,9.3,17.9,32.9,25.0,6.4,34.3,8.6
Rowdy Tellez,2025,209,38.8,31.6,22.0,7.7,32.5,39.2,28.2,1.4,31.6,26.8,20.1,4.8,36.8,15.3
Adolis García,2025,379,36.9,33.8,22.2,7.1,38.0,35.4,26.6,1.8,26.4,31.4,22.2,6.3,33.2,11.6
Josh Jung,2025,353,41.6,24.9,27.5,5.9,35.1,40.5,24.4,5.7,28.0,21.0,26.9,9.3,39.4,8.2
Ezequiel Duran,2025,152,40.8,17.8,25.0,16.4,31.6,36.8,31.6,9.9,27.0,31.6,24.3,4.6,30.3,2.6
Billy McKinney,2025,19,36.8,31.6,26.3,5.3,31.6,31.6,36.8,5.3,26.3,31.6,26.3,10.5,42.1,0.0
Sam Haggerty,2025,126,50.8,17.5,27.0,4.8,36.5,38.9,24.6,4.0,38.1,19.8,24.6,9.5,34.9,2.4
Michael Helman,2025,81,42.0,29.6,13.6,14.8,56.8,25.9,17.3,16.0,24.7,37.0,9.9,3.7,24.7,8.6
Joc Pederson,2025,201,40.8,29.4,19.9,10.0,44.3,29.9,25.9,4.5,26.4,31.8,20.4,6.5,28.4,9.5
Alejandro Osuna,2025,119,42.9,20.2,30.3,6.7,30.3,46.2,23.5,4.2,29.4,22.7,34.5,1.7,34.5,5.9
Dustin Harris,2025,27,40.7,25.9,22.2,11.1,37.0,37.0,25.9,0.0,37.0,29.6,22.2,7.4,37.0,3.7
Jonah Heim,2025,312,41.3,27.2,22.4,9.0,40.7,37.2,22.1,4.2,30.4,28.5,25.0,5.8,33.3,6.1
Donovan Solano,2025,128,46.1,20.3,26.6,7.0,34.4,35.2,30.5,6.3,31.3,23.4,30.5,4.7,35.9,3.9
Josh Smith,2025,399,44.6,24.1,24.6,6.8,36.3,37.3,26.3,4.8,31.8,27.1,27.1,4.0,33.8,5.0
Kyle Higashioka,2025,233,36.1,30.0,25.8,8.2,51.1,30.9,18.0,4.3,24.9,30.0,23.2,8.6,39.1,8.6
Wyatt Langford,2025,343,35.0,30.6,26.8,7.6,43.1,33.8,23.0,4.7,23.6,28.9,22.7,6.1,35.9,14.0
Cody Freeman,2025,97,48.5,18.6,22.7,10.3,40.2,34.0,25.8,4.1,39.2,23.7,23.7,3.1,33.0,4.1
