Player,Season,Pitches,Zone %,Zone Swing %,Zone Contact %,Chase %,Chase Contact %,Edge %,1st Pitch Swing %,Swing %,Whiff %,Meatball %,Meatball Swing %
Evan Carter,2025,822,53.2,65.7,81.9,20.0,46.8,43.8,27.9,44.3,25.5,9.4,74.0
Jake Burger,2025,1324,48.7,71.0,83.4,39.9,49.4,42.4,44.9,55.1,29.2,7.6,84.0
Corey Seager,2025,1668,49.0,78.0,81.8,23.0,40.8,45.3,47.4,49.9,27.9,7.1,87.4
Justin Foscue,2025,42,64.3,66.7,88.9,13.3,100.0,52.4,11.1,47.6,10.0,11.9,80.0
Marcus Semien,2025,2075,49.3,75.3,86.1,23.4,50.0,41.8,38.0,49.0,22.6,7.7,90.6
Dylan Moore,2025,1010,53.3,69.7,70.9,24.8,53.0,42.6,30.9,48.7,33.3,9.8,81.8
Rowdy Tellez,2025,1286,50.5,59.3,82.1,30.1,51.6,45.4,31.1,44.9,28.1,6.9,68.5
Adolis García,2025,2150,48.1,69.9,77.2,35.8,56.1,42.9,33.2,52.2,30.3,7.3,76.3
Josh Jung,2025,1931,49.4,69.5,82.1,33.2,59.3,43.1,37.4,51.1,25.4,6.5,80.8
Ezequiel Duran,2025,807,50.7,70.7,84.4,37.4,58.4,40.6,43.8,54.3,24.4,7.2,79.3
Billy McKinney,2025,86,54.7,70.2,84.8,23.1,44.4,46.5,19.0,48.8,23.8,10.5,66.7
Sam Haggerty,2025,644,53.1,70.5,81.7,27.2,50.0,44.4,33.0,50.2,26.3,8.2,84.9
Michael Helman,2025,405,56.8,72.2,81.3,33.1,60.3,46.4,40.9,55.3,24.1,6.4,92.3
Joc Pederson,2025,1237,47.6,63.5,83.2,26.9,56.9,43.0,22.5,44.3,25.2,7.2,74.2
Alejandro Osuna,2025,739,52.6,61.7,85.0,24.9,67.8,42.8,11.4,44.2,19.6,8.3,57.4
Dustin Harris,2025,180,50.0,72.2,93.8,32.2,34.5,42.2,20.9,52.2,24.5,8.3,73.3
Jonah Heim,2025,1704,51.8,68.1,81.0,30.0,63.0,45.4,30.9,49.7,24.2,8.0,73.5
Donovan Solano,2025,704,51.8,66.0,83.4,36.3,54.5,45.6,19.6,51.7,26.4,8.2,69.0
Josh Smith,2025,2287,53.0,63.1,87.7,25.7,60.3,43.9,28.9,45.5,19.6,8.4,72.4
Kyle Higashioka,2025,1279,51.7,61.4,87.2,27.5,56.5,40.7,14.7,45.0,21.9,8.2,70.5
Wyatt Langford,2025,2335,48.4,63.8,83.2,23.4,49.3,42.4,30.9,43.0,26.3,6.9,76.4
Cody Freeman,2025,505,49.3,55.8,87.8,34.8,84.3,43.6,10.7,45.1,13.6,8.3,71.4
