Player,Season,PA,AB,H,2B,3B,HR,BB,SO,BA,OBP,SLG,wOBA,wOBAcon,Pitches,Batted Balls,Barrels,Barrel %,Hard Hit %,Exit Velocity,Launch Angle,xBA,xSLG,xwOBA,xwOBAcon
Evan Carter,2025,220,194,48,9,2,5,19,41,0.247,0.336,0.392,0.321,0.345,822,153,9,5.9,34.6,86.7,13.7,0.241,0.36,0.308,0.327
Jake Burger,2025,376,356,84,15,1,16,12,93,0.236,0.269,0.419,0.295,0.372,1324,266,37,13.9,48.5,90.4,16.1,0.246,0.478,0.324,0.414
Corey Seager,2025,445,380,103,19,0,21,58,87,0.271,0.373,0.487,0.365,0.414,1668,295,45,15.3,53.6,92.9,11.6,0.285,0.569,0.4,0.465
Justin Foscue,2025,9,9,1,1,0,0,0,3,0.111,0.111,0.222,0.139,0.209,42,6,0,0.0,66.7,93.0,38.5,0.161,0.279,0.189,0.284
Marcus Semien,2025,534,470,108,16,1,15,50,93,0.23,0.305,0.364,0.295,0.309,2075,386,26,6.7,35.0,88.3,19.4,0.243,0.395,0.318,0.341
Dylan Moore,2025,243,219,44,5,0,11,20,82,0.201,0.267,0.374,0.28,0.381,1010,140,12,8.6,34.3,84.8,21.3,0.191,0.326,0.262,0.352
Rowdy Tellez,2025,312,289,66,11,0,17,17,83,0.228,0.276,0.443,0.307,0.392,1286,209,32,15.3,46.4,91.2,14.8,0.234,0.479,0.328,0.424
Adolis García,2025,547,507,115,28,0,19,28,135,0.227,0.271,0.394,0.286,0.353,2150,379,44,11.6,46.7,92.1,16.3,0.232,0.427,0.304,0.379
Josh Jung,2025,511,482,121,23,1,14,27,129,0.251,0.294,0.39,0.298,0.374,1931,353,29,8.2,46.7,89.3,12.8,0.245,0.414,0.304,0.384
Ezequiel Duran,2025,219,205,46,14,0,0,8,55,0.224,0.266,0.293,0.249,0.303,807,152,4,2.6,30.9,85.3,15.2,0.214,0.295,0.247,0.3
Billy McKinney,2025,21,20,4,1,0,0,1,1,0.2,0.238,0.25,0.219,0.205,86,19,0,0.0,26.3,87.0,16.0,0.311,0.455,0.346,0.346
Sam Haggerty,2025,182,162,41,7,3,2,16,37,0.253,0.328,0.37,0.307,0.345,644,126,3,2.4,42.1,88.3,7.0,0.249,0.362,0.304,0.341
Michael Helman,2025,110,99,23,5,1,5,7,21,0.232,0.29,0.455,0.319,0.367,405,81,7,8.6,24.7,82.7,19.6,0.179,0.323,0.25,0.271
Joc Pederson,2025,306,265,48,10,1,9,34,65,0.181,0.285,0.328,0.276,0.284,1237,201,19,9.5,44.8,91.2,16.9,0.219,0.393,0.315,0.343
Alejandro Osuna,2025,176,151,32,4,0,2,21,34,0.212,0.313,0.278,0.27,0.269,739,119,7,5.9,37.0,88.9,12.0,0.271,0.39,0.338,0.369
Dustin Harris,2025,43,40,8,3,0,1,3,13,0.2,0.256,0.35,0.265,0.345,180,27,1,3.7,25.9,86.9,16.1,0.186,0.275,0.231,0.292
Jonah Heim,2025,433,395,84,14,0,11,32,88,0.213,0.271,0.332,0.266,0.296,1704,312,19,6.1,35.9,88.1,14.5,0.219,0.346,0.276,0.31
Donovan Solano,2025,179,166,41,4,1,3,8,40,0.247,0.291,0.337,0.277,0.327,704,128,5,3.9,37.5,87.4,12.7,0.223,0.32,0.259,0.302
Josh Smith,2025,563,495,124,23,2,10,55,100,0.251,0.335,0.366,0.311,0.33,2287,399,20,5.0,31.1,87.2,12.7,0.247,0.366,0.31,0.33
Kyle Higashioka,2025,327,303,73,14,1,11,20,72,0.241,0.291,0.403,0.301,0.356,1279,233,20,8.6,39.1,88.9,17.2,0.233,0.394,0.295,0.348
Wyatt Langford,2025,573,489,118,25,1,22,74,151,0.241,0.344,0.431,0.337,0.407,2335,343,48,14.0,48.4,91.4,17.5,0.239,0.448,0.346,0.421
Cody Freeman,2025,121,114,26,4,0,3,5,19,0.228,0.258,0.342,0.261,0.29,505,97,4,4.1,25.8,84.9,10.6,0.244,0.332,0.269,0.3
