Player,Season,BBE,GB %,FB %,LD %,PU %,Pull %,Straight %,Oppo %,Weak %,Topped %,Under %,Flare/Burner %,Solid %,Launch Angle Sweet-Spot %,Barrel %
Shawn Armstrong,2025,184,35.9,33.7,20.1,10.3,32.1,38.6,29.3,4.3,24.5,35.9,21.2,6.5,32.6,7.1
Jon Gray,2025,45,17.8,37.8,33.3,11.1,40.0,44.4,15.6,2.2,13.3,46.7,15.6,4.4,44.4,17.8
Jacob deGrom,2025,444,38.1,33.1,22.3,6.5,36.5,32.7,30.9,2.7,28.2,29.7,22.5,7.0,33.1,9.2
Cole Winn,2025,106,48.1,28.3,19.8,3.8,33.0,41.5,25.5,4.7,37.7,22.6,17.9,5.7,29.2,10.4
Dom Hamel,2025,5,40.0,20.0,40.0,0.0,40.0,40.0,20.0,0.0,40.0,20.0,20.0,20.0,40.0,0.0
Robert Garcia,2025,178,39.9,32.0,25.3,2.8,42.1,32.0,25.8,5.1,30.3,27.5,24.2,5.1,38.2,7.9
Merrill Kelly,2025,531,43.7,25.8,22.8,7.7,41.8,36.0,22.2,3.8,31.1,24.9,23.2,7.3,32.4,9.2
Jacob Latz,2025,235,37.9,26.4,25.1,10.6,40.4,34.0,25.5,3.4,26.0,30.2,25.5,8.1,33.2,6.4
Luis Curvelo,2025,54,25.9,37.0,24.1,13.0,31.5,40.7,27.8,9.3,14.8,38.9,22.2,5.6,27.8,9.3
Tyler Mahle,2025,251,38.6,26.7,27.1,7.6,32.3,42.6,25.1,5.2,24.7,29.9,27.5,4.8,37.8,8.0
Jacob Webb,2025,188,33.5,35.6,19.7,11.2,46.3,30.3,23.4,4.8,21.3,36.7,22.3,8.0,30.9,5.9
Patrick Corbin,2025,478,41.0,27.4,25.5,6.1,45.0,34.1,20.9,4.8,29.5,24.5,26.2,6.5,34.7,8.4
Marc Church,2025,12,41.7,41.7,8.3,8.3,33.3,50.0,16.7,0.0,25.0,16.7,25.0,0.0,41.7,33.3
Kumar Rocker,2025,204,49.0,23.0,24.0,3.9,37.7,44.1,18.1,3.9,33.8,19.1,27.0,3.9,34.8,11.8
Hoby Milner,2025,212,53.8,24.1,18.9,3.3,35.4,38.2,26.4,4.7,41.5,17.9,21.7,5.2,28.3,9.0
Danny Coulombe,2025,115,41.7,25.2,24.3,8.7,46.1,33.9,20.0,6.1,28.7,27.8,25.2,7.0,31.3,5.2
Chris Martin,2025,122,43.4,27.9,21.3,7.4,27.0,39.3,33.6,0.8,36.1,22.1,24.6,6.6,35.2,9.0
Jack Leiter,2025,426,37.8,30.0,23.2,8.9,42.5,35.0,22.5,2.8,27.7,28.6,22.8,7.0,33.8,10.8
Nathan Eovaldi,2025,338,51.2,24.9,19.8,4.1,43.8,34.6,21.6,4.4,39.9,20.7,22.8,4.7,31.4,7.4
Phil Maton,2025,137,46.0,19.7,27.7,6.6,38.7,33.6,27.7,8.8,35.0,21.9,22.6,8.0,38.7,3.6
Jose Corniell,2025,7,42.9,57.1,0.0,0.0,14.3,57.1,28.6,0.0,14.3,28.6,28.6,14.3,14.3,14.3
