Player,Season,Pitches,Zone %,Zone Swing %,Zone Contact %,Chase %,Chase Contact %,Edge %,1st Pitch Swing %,Swing %,Whiff %,Meatball %,Meatball Swing %
Shawn Armstrong,2025,1118,54.7,66.7,79.7,24.5,62.1,41.1,33.5,47.6,24.4,8.8,78.6
Jon Gray,2025,210,50.0,72.4,86.8,27.6,58.6,42.4,38.1,50.0,21.0,10.0,85.7
Jacob deGrom,2025,2614,50.2,70.9,80.4,32.4,46.4,44.1,36.6,51.7,30.2,7.2,80.2
Cole Winn,2025,619,50.2,67.8,85.3,23.7,53.4,40.2,36.9,45.9,22.9,7.8,81.3
Dom Hamel,2025,13,53.8,71.4,100.0,50.0,100.0,53.8,33.3,61.5,0.0,0.0,0.0
Robert Garcia,2025,972,52.4,68.6,77.7,31.7,56.5,40.5,38.6,51.0,28.6,9.1,76.1
Merrill Kelly,2025,2833,48.0,67.1,85.2,32.8,58.4,46.7,32.1,49.3,24.1,7.3,74.9
Jacob Latz,2025,1388,51.0,68.8,80.3,28.8,46.4,45.2,32.0,49.2,29.4,7.6,71.4
Luis Curvelo,2025,325,51.1,63.9,79.2,25.8,73.2,40.3,27.7,45.2,22.4,6.2,95.0
Tyler Mahle,2025,1381,53.0,69.4,80.9,27.9,65.2,48.4,34.4,49.9,23.2,5.7,69.6
Jacob Webb,2025,978,51.4,70.8,78.1,30.3,58.3,44.7,34.3,51.1,27.6,7.1,72.5
Patrick Corbin,2025,2588,47.1,65.1,84.1,29.6,51.4,43.8,36.2,46.3,26.9,6.5,75.7
Marc Church,2025,99,46.5,63.0,75.9,11.3,50.0,44.4,17.4,35.4,28.6,8.1,87.5
Kumar Rocker,2025,1127,51.0,70.3,84.7,28.8,50.9,43.5,31.4,50.0,24.9,8.4,73.7
Hoby Milner,2025,1157,54.4,59.3,89.3,24.8,71.0,44.3,20.0,43.6,15.5,8.3,71.9
Danny Coulombe,2025,719,45.5,67.9,79.7,36.2,60.6,44.2,33.0,50.6,27.7,7.1,82.4
Chris Martin,2025,638,55.5,71.2,84.9,35.6,61.4,44.0,41.8,55.3,21.8,6.9,79.5
Jack Leiter,2025,2584,52.0,68.9,83.2,25.0,53.5,42.0,32.2,47.8,24.3,8.7,73.9
Nathan Eovaldi,2025,1919,53.6,68.7,78.5,30.0,55.8,44.7,30.6,50.7,27.7,7.3,72.9
Phil Maton,2025,1008,51.8,62.1,71.3,30.7,47.7,43.3,28.7,46.9,36.2,9.0,70.3
Jose Corniell,2025,41,63.4,73.1,73.7,33.3,60.0,39.0,33.3,58.5,29.2,12.2,60.0
