Player,Season,PA,AB,H,2B,3B,HR,BB,SO,BA,OBP,SLG,wOBA,wOBAcon,Pitches,Batted Balls,Barrels,Barrel %,Hard Hit %,Exit Velocity,Launch Angle,xBA,xSLG,xwOBA,xwOBAcon
Shawn Armstrong,2025,284,254,40,8,2,5,20,74,0.157,0.232,0.264,0.224,0.247,1118,184,13,7.1,34.2,88.0,19.1,0.202,0.338,0.272,0.322
Jon Gray,2025,63,57,15,3,0,5,6,12,0.263,0.333,0.579,0.385,0.447,210,45,8,17.8,46.7,91.6,25.1,0.263,0.56,0.377,0.436
Jacob deGrom,2025,669,624,122,19,1,26,37,185,0.196,0.242,0.354,0.259,0.327,2614,444,41,9.2,41.9,90.1,16.0,0.221,0.391,0.286,0.369
Cole Winn,2025,162,138,23,7,1,3,17,35,0.167,0.275,0.297,0.255,0.26,619,106,11,10.4,48.1,91.4,10.4,0.216,0.407,0.318,0.355
Dom Hamel,2025,6,5,3,0,0,0,0,0,0.6,0.667,0.6,0.562,0.529,13,5,0,0.0,20.0,91.9,10.5,0.413,0.517,0.457,0.404
Robert Garcia,2025,269,242,58,8,0,8,22,68,0.24,0.305,0.372,0.295,0.362,972,178,14,7.9,34.3,88.6,11.9,0.235,0.4,0.304,0.375
Merrill Kelly,2025,748,696,157,35,3,23,48,167,0.226,0.277,0.384,0.288,0.34,2833,531,49,9.2,43.5,90.2,13.8,0.25,0.431,0.316,0.38
Jacob Latz,2025,348,310,69,14,3,7,37,76,0.223,0.305,0.355,0.29,0.324,1388,235,15,6.4,42.6,90.0,17.6,0.246,0.395,0.315,0.361
Luis Curvelo,2025,84,72,17,6,0,3,10,20,0.236,0.321,0.444,0.324,0.383,325,54,5,9.3,35.2,85.7,21.2,0.22,0.368,0.299,0.345
Tyler Mahle,2025,346,316,69,12,1,5,29,66,0.218,0.283,0.31,0.265,0.286,1381,251,20,8.0,37.1,88.5,14.4,0.253,0.412,0.319,0.359
Jacob Webb,2025,267,243,49,8,0,10,19,58,0.202,0.264,0.358,0.27,0.31,978,188,11,5.9,34.6,86.6,23.0,0.217,0.365,0.281,0.327
Patrick Corbin,2025,663,602,161,31,2,21,51,131,0.267,0.326,0.43,0.328,0.377,2588,478,40,8.4,40.4,89.2,14.4,0.268,0.439,0.336,0.389
Marc Church,2025,23,16,4,2,0,0,6,5,0.25,0.435,0.375,0.366,0.356,99,12,4,33.3,50.0,93.4,16.2,0.246,0.578,0.417,0.453
Kumar Rocker,2025,287,256,71,12,3,11,23,56,0.277,0.343,0.477,0.352,0.403,1127,204,24,11.8,47.5,91.2,8.3,0.279,0.492,0.364,0.421
Hoby Milner,2025,293,266,68,14,2,5,21,58,0.256,0.312,0.38,0.298,0.343,1157,212,19,9.0,36.8,88.4,6.7,0.235,0.405,0.303,0.349
Danny Coulombe,2025,176,156,32,4,0,3,18,43,0.205,0.286,0.288,0.261,0.291,719,115,6,5.2,38.3,87.5,17.2,0.242,0.381,0.309,0.365
Chris Martin,2025,173,164,43,3,0,6,7,43,0.262,0.295,0.39,0.291,0.377,638,122,11,9.0,41.0,90.1,12.9,0.258,0.426,0.303,0.394
Jack Leiter,2025,646,571,127,25,0,18,67,148,0.222,0.309,0.361,0.298,0.334,2584,426,46,10.8,43.9,90.5,16.1,0.235,0.427,0.326,0.378
Nathan Eovaldi,2025,496,463,90,20,1,10,21,129,0.194,0.239,0.307,0.24,0.295,1919,338,25,7.4,38.5,88.6,9.5,0.219,0.358,0.271,0.341
Phil Maton,2025,249,214,42,12,0,3,24,81,0.196,0.296,0.294,0.266,0.333,1008,137,5,3.6,30.7,84.8,12.2,0.195,0.282,0.264,0.329
Jose Corniell,2025,9,8,3,1,0,1,1,1,0.375,0.444,0.875,0.54,0.596,41,7,1,14.3,57.1,97.2,22.4,0.31,0.691,0.448,0.477
