player_id,name,pos,type,number
605113,Nick Ahmed,SS,batter,23
542888,Shawn Armstrong,P,pitcher,43
571466,Tucker Barnhart,C,batter,18
676961,Caleb Boushley,P,pitcher,70
669394,Jake Burger,1B,batter,21
694497,Evan Carter,CF,batter,32
687847,Marc Church,P,pitcher,30
571578,Patrick Corbin,P,pitcher,46
692030,Jose Corniell,P,pitcher,59
543056,Danny Coulombe,P,pitcher,54
688760,Blaine Crim,1B,batter,13
681168,Luis Curvelo,P,pitcher,57
641540,Dane Dunning,P,pitcher,33
677649,Ezequiel Duran,SS,batter,20
605218,Carl Edwards Jr.,P,pitcher,58
543135,Nathan Eovaldi,P,pitcher,17
679822,Justin Foscue,1B,batter,56
683227,Cody Freeman,3B,batter,39
642520,Gerson Garabito,P,pitcher,58
666969,Adolis García,RF,batter,53
676395,Robert Garcia,P,pitcher,62
592351,Jon Gray,P,pitcher,22
664059,Sam Haggerty,CF,batter,0
687957,Dustin Harris,LF,batter,38
641680,Jonah Heim,C,batter,28
680737,Michael Helman,CF,batter,24
676051,Codi Heuer,P,pitcher,54
543309,Kyle Higashioka,C,batter,11
592426,Luke Jackson,P,pitcher,77
673962,Josh Jung,3B,batter,6
518876,Merrill Kelly,P,pitcher,23
694671,Wyatt Langford,LF,batter,36
656641,Jacob Latz,P,pitcher,67
683004,Jack Leiter,P,pitcher,22
641816,Tyler Mahle,P,pitcher,51
455119,Chris Martin,P,pitcher,55
664208,Phil Maton,P,pitcher,88
641856,Billy McKinney,LF,batter,33
571948,Hoby Milner,P,pitcher,41
664238,Dylan Moore,2B,batter,25
680716,Jonathan Ornelas,SS,batter,24
696030,Alejandro Osuna,LF,batter,19
592626,Joc Pederson,1B,batter,4
607680,Kevin Pillar,CF,batter,1
677958,Kumar Rocker,P,pitcher,80
608369,Corey Seager,SS,batter,5
543760,Marcus Semien,2B,batter,2
669701,Josh Smith,SS,batter,8
456781,Donovan Solano,1B,batter,16
665750,Leody Taveras,CF,batter,3
642133,Rowdy Tellez,1B,batter,44
657097,Jacob Webb,P,pitcher,71
668390,Cole Winn,P,pitcher,60
594798,Jacob deGrom,P,pitcher,48
