game_pk,game_date,game_type,batter,inning,inning_topbot,at_bat_number,events,home_team,away_team,on_1b,on_2b,on_3b
777697,2025-05-31,R,673962,9,Bot,67,strikeout,TEX,STL,,,
777697,2025-05-31,R,694671,9,Bot,66,field_out,TEX,STL,,,
777697,2025-05-31,R,608369,9,Bot,65,strikeout,TEX,STL,,,
777697,2025-05-31,R,669701,8,Bot,59,field_out,TEX,STL,,,
777697,2025-05-31,R,543309,8,Bot,58,grounded_into_double_play,TEX,STL,543760,,
777697,2025-05-31,R,543760,8,Bot,57,walk,TEX,STL,,,
777697,2025-05-31,R,664059,7,Bot,52,field_out,TEX,STL,696030,,
777697,2025-05-31,R,669394,7,Bot,51,strikeout,TEX,STL,696030,,
777697,2025-05-31,R,696030,7,Bot,50,single,TEX,STL,,,
777697,2025-05-31,R,673962,7,Bot,49,strikeout,TEX,STL,,,
777697,2025-05-31,R,694671,6,Bot,44,strikeout,TEX,STL,,,
777697,2025-05-31,R,608369,6,Bot,43,field_out,TEX,STL,,,
777697,2025-05-31,R,669701,6,Bot,42,strikeout,TEX,STL,,,
777697,2025-05-31,R,543309,5,Bot,37,field_out,TEX,STL,543760,,664059
777697,2025-05-31,R,543760,5,Bot,36,single,TEX,STL,664059,,
777697,2025-05-31,R,664059,5,Bot,35,force_out,TEX,STL,669394,,
777697,2025-05-31,R,669394,5,Bot,34,single,TEX,STL,,,
777697,2025-05-31,R,696030,5,Bot,33,field_out,TEX,STL,,,
777697,2025-05-31,R,673962,4,Bot,28,field_out,TEX,STL,,,
777697,2025-05-31,R,694671,4,Bot,27,field_out,TEX,STL,,,
777697,2025-05-31,R,608369,4,Bot,26,field_out,TEX,STL,,,
777697,2025-05-31,R,669701,3,Bot,20,strikeout,TEX,STL,,,
777697,2025-05-31,R,543309,3,Bot,19,strikeout,TEX,STL,,,
777697,2025-05-31,R,543760,3,Bot,18,strikeout,TEX,STL,,,
777697,2025-05-31,R,664059,2,Bot,14,strikeout,TEX,STL,,,
777697,2025-05-31,R,669394,2,Bot,13,field_out,TEX,STL,696030,,
777697,2025-05-31,R,696030,2,Bot,12,walk,TEX,STL,,,
777697,2025-05-31,R,673962,1,Bot,7,strikeout,TEX,STL,608369,,
777697,2025-05-31,R,694671,1,Bot,6,strikeout,TEX,STL,608369,,
