game_pk,game_date,game_type,batter,inning,inning_topbot,at_bat_number,events,home_team,away_team,on_1b,on_2b,on_3b,post_on_1b,post_on_2b,post_on_3b
776147,2025-09-28,R,683227,3,Top,21,single,CLE,TEX,,,,683227,,
776147,2025-09-28,R,669394,3,Top,24,single,CLE,TEX,,673962,683227,669394,,
776147,2025-09-28,R,666969,10,Top,80,single,CLE,TEX,,673962,,666969,,673962
776158,2025-09-27,R,673962,6,Top,39,single,CLE,TEX,,,,673962,,
776158,2025-09-27,R,543309,7,Top,44,single,CLE,TEX,,,,543309,,
776158,2025-09-27,R,664238,8,Top,51,single,CLE,TEX,,,,664238,,
776175,2025-09-26,R,683227,1,Top,2,single,CLE,TEX,592626,,,683227,592626,
776175,2025-09-26,R,673962,3,Top,21,single,CLE,TEX,,,,673962,,
776175,2025-09-26,R,641680,4,Top,29,single,CLE,TEX,,,,641680,,
776175,2025-09-26,R,641856,7,Top,49,single,CLE,TEX,,,,641856,,
776175,2025-09-26,R,680737,7,Top,50,single,CLE,TEX,641856,,,680737,641856,
776175,2025-09-26,R,592626,7,Top,51,single,CLE,TEX,680737,641856,,592626,680737,641856
776175,2025-09-26,R,683227,7,Top,52,single,CLE,TEX,592626,680737,641856,683227,592626,
776175,2025-09-26,R,669394,7,Top,54,single,CLE,TEX,683227,592626,,669394,,683227
776175,2025-09-26,R,592626,9,Top,66,single,CLE,TEX,,,,592626,,
776175,2025-09-26,R,683227,9,Top,67,single,CLE,TEX,592626,,,683227,592626,
776183,2025-09-25,R,677649,3,Bot,19,single,TEX,MIN,,,,677649,,
776183,2025-09-25,R,696030,5,Bot,33,single,TEX,MIN,,,,696030,,
776192,2025-09-24,R,677649,7,Bot,48,single,TEX,MIN,,,,,677649,
776192,2025-09-24,R,641856,7,Bot,49,single,TEX,MIN,,677649,,,641856,
776192,2025-09-24,R,641680,7,Bot,50,single,TEX,MIN,,641856,,,641680,
776210,2025-09-23,R,677649,3,Bot,23,single,TEX,MIN,,,,677649,,
776210,2025-09-23,R,696030,3,Bot,26,single,TEX,MIN,677649,,,696030,677649,
776210,2025-09-23,R,673962,4,Bot,34,single,TEX,MIN,,,,673962,,
776226,2025-09-21,R,683227,4,Bot,32,single,TEX,MIA,673962,,,683227,673962,
776226,2025-09-21,R,673962,6,Bot,48,single,TEX,MIA,,,,,673962,
776226,2025-09-21,R,683227,6,Bot,49,single,TEX,MIA,,673962,,683227,,
776242,2025-09-20,R,592626,1,Bot,5,single,TEX,MIA,,,,592626,,
776242,2025-09-20,R,677649,3,Bot,23,single,TEX,MIA,,,,677649,,
776242,2025-09-20,R,696030,3,Bot,27,single,TEX,MIA,592626,677649,,696030,,592626
776242,2025-09-20,R,642133,3,Bot,28,single,TEX,MIA,696030,,592626,,642133,696030
776242,2025-09-20,R,673962,4,Bot,35,single,TEX,MIA,,,,673962,,
776242,2025-09-20,R,680737,7,Bot,59,single,TEX,MIA,,,,680737,,
776242,2025-09-20,R,673962,9,Bot,73,single,TEX,MIA,,,,694671,,
776251,2025-09-19,R,673962,2,Bot,13,single,TEX,MIA,,,592626,673962,,
776251,2025-09-19,R,696030,6,Bot,45,single,TEX,MIA,,,,696030,,
776292,2025-09-17,R,696030,2,Top,13,single,HOU,TEX,,,,,696030,
776292,2025-09-17,R,683227,2,Top,16,single,HOU,TEX,,,673962,683227,,
776292,2025-09-17,R,592626,3,Top,23,single,HOU,TEX,,,,,592626,
776292,2025-09-17,R,642133,6,Top,45,single,HOU,TEX,,,,642133,,
776292,2025-09-17,R,677649,8,Top,58,single,HOU,TEX,683227,,,677649,683227,
776301,2025-09-16,R,543309,2,Top,10,single,HOU,TEX,,,,543309,,
776301,2025-09-16,R,592626,4,Top,27,single,HOU,TEX,,,,592626,,
776301,2025-09-16,R,543309,8,Top,67,single,HOU,TEX,,,,543309,,
776301,2025-09-16,R,666969,8,Top,70,single,HOU,TEX,696030,673962,,,677649,696030
776301,2025-09-16,R,669701,9,Top,75,single,HOU,TEX,,,,669701,,
776301,2025-09-16,R,641680,9,Top,78,single,HOU,TEX,669701,,,641680,669701,
776319,2025-09-15,R,673962,3,Top,17,single,HOU,TEX,,,,673962,,
776319,2025-09-15,R,694671,4,Top,24,single,HOU,TEX,,,,694671,,
776319,2025-09-15,R,664238,5,Top,34,single,HOU,TEX,,,,,664238,
776319,2025-09-15,R,669701,5,Top,35,single,HOU,TEX,,664238,,669701,,
776319,2025-09-15,R,641680,7,Top,50,single,HOU,TEX,,,,641680,,
776319,2025-09-15,R,642133,7,Top,51,single,HOU,TEX,641680,,,677649,641680,
776319,2025-09-15,R,694671,7,Top,53,single,HOU,TEX,677649,641680,,,,
776319,2025-09-15,R,680737,9,Top,66,single,HOU,TEX,,,,680737,,
776319,2025-09-15,R,677649,9,Top,69,single,HOU,TEX,641680,,,677649,641680,
776335,2025-09-14,R,696030,2,Top,12,single,NYM,TEX,,,,696030,,
776335,2025-09-14,R,592626,4,Top,26,single,NYM,TEX,,,,592626,,
776335,2025-09-14,R,642133,4,Top,28,single,NYM,TEX,,,,642133,,
776335,2025-09-14,R,642133,6,Top,44,single,NYM,TEX,666969,,,642133,,666969
776335,2025-09-14,R,680737,7,Top,50,single,NYM,TEX,,,,680737,,
776335,2025-09-14,R,592626,7,Top,55,single,NYM,TEX,694671,669701,680737,592626,,694671
776335,2025-09-14,R,543309,9,Top,68,single,NYM,TEX,,,,,677649,
776349,2025-09-13,R,696030,2,Top,12,single,NYM,TEX,,,,696030,,
776349,2025-09-13,R,680737,3,Top,19,single,NYM,TEX,,,,680737,,
776349,2025-09-13,R,669701,3,Top,20,single,NYM,TEX,680737,,,669701,680737,
776349,2025-09-13,R,669701,6,Top,42,single,NYM,TEX,,,,669701,,
776349,2025-09-13,R,669394,6,Top,45,single,NYM,TEX,669701,,,669394,669701,
776349,2025-09-13,R,683227,9,Top,71,single,NYM,TEX,,,,687957,,
776349,2025-09-13,R,694671,9,Top,74,single,NYM,TEX,,687957,,,694671,
776359,2025-09-12,R,673962,1,Top,5,single,NYM,TEX,592626,,669701,673962,,592626
776359,2025-09-12,R,696030,1,Top,6,single,NYM,TEX,673962,,592626,696030,673962,
776359,2025-09-12,R,683227,1,Top,8,single,NYM,TEX,641680,696030,673962,683227,,641680
776359,2025-09-12,R,669394,2,Top,16,single,NYM,TEX,,,,,669394,
776359,2025-09-12,R,669394,7,Top,53,single,NYM,TEX,,,,669394,,
776359,2025-09-12,R,680737,8,Top,61,single,NYM,TEX,,,,680737,,
776359,2025-09-12,R,669701,8,Top,62,single,NYM,TEX,680737,,,669701,,680737
776375,2025-09-10,R,680737,3,Bot,21,single,TEX,MIL,,,,680737,,
776375,2025-09-10,R,696030,4,Bot,34,single,TEX,MIL,,,,696030,,
776375,2025-09-10,R,683227,4,Bot,35,single,TEX,MIL,696030,,,683227,696030,
776375,2025-09-10,R,669701,5,Bot,41,single,TEX,MIL,,,,669701,,
776395,2025-09-09,R,696030,2,Bot,15,single,TEX,MIL,673962,,,696030,673962,
776395,2025-09-09,R,683227,2,Bot,16,single,TEX,MIL,696030,673962,,,683227,
776395,2025-09-09,R,669701,5,Bot,42,single,TEX,MIL,,,,669701,,
776395,2025-09-09,R,641680,6,Bot,53,single,TEX,MIL,,,,641680,,
776406,2025-09-08,R,641680,7,Bot,49,single,TEX,MIL,,,,641680,,
776406,2025-09-08,R,669394,8,Bot,60,single,TEX,MIL,,673962,,669394,,673962
776418,2025-09-07,R,664238,2,Bot,13,single,TEX,HOU,,,,,664238,
776418,2025-09-07,R,669394,4,Bot,26,single,TEX,HOU,,,,669394,,
776418,2025-09-07,R,683227,6,Bot,42,single,TEX,HOU,,,,683227,,
776432,2025-09-06,R,673962,2,Bot,12,single,TEX,HOU,,,,673962,,
776432,2025-09-06,R,696030,2,Bot,13,single,TEX,HOU,673962,,,696030,673962,
776432,2025-09-06,R,592626,3,Bot,24,single,TEX,HOU,,,,592626,,
776432,2025-09-06,R,669701,5,Bot,40,single,TEX,HOU,,,,669701,,
776449,2025-09-05,R,673962,2,Bot,15,single,TEX,HOU,,,,673962,,
776449,2025-09-05,R,677649,2,Bot,16,single,TEX,HOU,673962,,,677649,,673962
776449,2025-09-05,R,683227,5,Bot,40,single,TEX,HOU,,,,683227,,
776449,2025-09-05,R,677649,6,Bot,49,single,TEX,HOU,,,,677649,,
776449,2025-09-05,R,677649,8,Bot,66,single,TEX,HOU,543309,,,677649,,543309
776468,2025-09-03,R,669701,1,Top,1,single,AZ,TEX,,,,669701,,
776468,2025-09-03,R,669394,1,Top,4,single,AZ,TEX,669701,,,669394,,669701
776468,2025-09-03,R,696030,5,Top,32,single,AZ,TEX,,,,696030,,
776468,2025-09-03,R,694671,8,Top,55,single,AZ,TEX,,,,694671,,
776481,2025-09-02,R,669701,1,Top,1,single,AZ,TEX,,,,669701,,
776481,2025-09-02,R,696030,2,Top,11,single,AZ,TEX,683227,,,696030,683227,
776481,2025-09-02,R,683227,4,Top,27,single,AZ,TEX,,,,683227,,
776481,2025-09-02,R,696030,4,Top,28,single,AZ,TEX,683227,,,,,696030
776481,2025-09-02,R,680737,5,Top,33,single,AZ,TEX,,,,680737,,
776481,2025-09-02,R,592626,6,Top,40,single,AZ,TEX,,,,592626,,
776481,2025-09-02,R,592626,8,Top,61,single,AZ,TEX,,,,592626,,
776481,2025-09-02,R,642133,8,Top,62,single,AZ,TEX,592626,,,642133,,592626
776495,2025-09-01,R,543309,3,Top,16,single,AZ,TEX,,,,543309,,
776495,2025-09-01,R,673962,5,Top,30,single,AZ,TEX,,,,673962,,
776495,2025-09-01,R,664238,9,Top,61,single,AZ,TEX,,,,664238,,
776495,2025-09-01,R,683227,9,Top,66,single,AZ,TEX,543309,,669394,683227,543309,
776495,2025-09-01,R,696030,10,Top,74,single,AZ,TEX,,677649,680737,696030,,
776508,2025-08-31,R,669701,3,Top,17,single,ATH,TEX,,,,669701,,
776508,2025-08-31,R,677649,7,Top,47,single,ATH,TEX,,,,677649,,
776508,2025-08-31,R,666969,7,Top,52,single,ATH,TEX,694671,669701,680737,666969,694671,669701
776508,2025-08-31,R,666969,9,Top,73,single,ATH,TEX,,,,666969,,
776524,2025-08-30,R,666969,2,Top,8,single,ATH,TEX,,,,666969,,
776524,2025-08-30,R,673962,2,Top,10,single,ATH,TEX,666969,,,673962,,666969
776524,2025-08-30,R,543309,2,Top,11,single,ATH,TEX,673962,,666969,543309,673962,
776524,2025-08-30,R,694671,3,Top,19,single,ATH,TEX,,,,694671,,
776524,2025-08-30,R,642133,3,Top,22,single,ATH,TEX,694671,,,642133,,694671
776524,2025-08-30,R,666969,5,Top,38,single,ATH,TEX,,,,666969,,
776524,2025-08-30,R,677649,6,Top,45,single,ATH,TEX,,,,677649,,
776524,2025-08-30,R,680737,6,Top,46,single,ATH,TEX,677649,,,680737,677649,
776524,2025-08-30,R,543309,7,Top,56,single,ATH,TEX,,673962,,543309,,
776524,2025-08-30,R,669701,8,Top,64,single,ATH,TEX,,,,669701,,
776524,2025-08-30,R,666969,9,Top,72,single,ATH,TEX,,,,666969,,
776538,2025-08-29,R,673962,2,Top,8,single,ATH,TEX,,,,673962,,
776538,2025-08-29,R,543309,2,Top,9,single,ATH,TEX,673962,,,543309,673962,
776538,2025-08-29,R,683227,2,Top,10,single,ATH,TEX,543309,673962,,683227,543309,673962
776538,2025-08-29,R,664238,2,Top,12,single,ATH,TEX,683227,,543309,,,
776538,2025-08-29,R,673962,6,Top,43,single,ATH,TEX,,,,673962,,
776538,2025-08-29,R,642133,7,Top,51,single,ATH,TEX,,,,642133,,
776538,2025-08-29,R,673962,8,Top,59,single,ATH,TEX,,,,673962,,
776563,2025-08-27,R,608369,1,Bot,8,single,TEX,LAA,694671,,,608369,694671,
776563,2025-08-27,R,694671,2,Bot,19,single,TEX,LAA,,,,694671,,
776563,2025-08-27,R,592626,4,Bot,38,single,TEX,LAA,,666969,,592626,,
