Split,G,GS,PA,AB,R,H,2B,3B,HR,RBI,SB,CS,BB,SO,BA,OBP,SLG,OPS,TB,GDP,HBP,SH,SF,IBB,ROE,BAbip,tOPS+,sOPS+
Batting 1st,198,162,740,652,95,146,26,4,14,49,14,6,68,127,.224,.305,.340,.646,222,9,10,4,4,2,8,.256,90,73
Batting 2nd,183,162,726,627,89,158,29,1,28,77,19,2,87,169,.252,.347,.435,.783,273,15,7,0,5,10,6,.299,129,105
Batting 3rd,192,162,714,631,87,142,29,1,22,76,11,0,65,139,.225,.304,.379,.683,239,12,10,0,8,2,3,.251,100,76
Batting 4th,189,162,694,639,74,148,30,1,24,92,8,2,43,165,.232,.284,.394,.679,252,11,6,0,5,0,5,.273,98,80
Batting 5th,181,162,672,599,63,115,17,2,15,60,18,8,62,163,.192,.274,.302,.576,181,12,7,1,3,1,6,.236,70,62
Batting 6th,187,162,653,604,83,157,33,2,25,86,13,8,41,162,.260,.308,.445,.753,269,7,3,0,5,1,2,.313,119,116
Batting 7th,185,162,636,587,74,157,32,1,16,76,11,2,41,139,.267,.322,.407,.729,239,9,7,0,1,1,4,.326,113,113
Batting 8th,204,162,616,561,69,127,24,0,21,79,18,1,39,113,.226,.285,.381,.666,214,11,9,1,6,1,5,.245,94,102
Batting 9th,202,162,595,543,50,125,25,3,10,63,22,4,40,150,.230,.286,.343,.629,186,6,4,5,3,1,3,.298,85,96
Bat1-2non-P,380,324,1466,1279,184,304,55,5,42,126,33,8,155,296,.238,.326,.387,.713,495,24,17,4,9,12,14,.276,110,89
Bat3-6non-P,745,648,2730,2470,306,562,109,6,86,314,50,18,211,628,.228,.293,.381,.674,941,42,26,1,21,4,16,.268,97,83
Bat7-9non-P,582,486,1847,1691,191,409,81,4,47,218,47,7,120,402,.242,.298,.378,.676,639,26,20,6,10,3,12,.289,98,104
