Split,G,IP,ER,ERA,PA,AB,R,H,2B,3B,HR,SB,CS,BB,SO,SO/W,BA,OBP,SLG,OPS,TB,GDP,HBP,SH,SF,IBB,ROE,BAbip,tOPS+,sOPS+
1st inning,162,162.0,60,3.33,659,596,63,131,24,0,27,12,1,55,150,2.73,.220,.291,.396,.687,236,14,6,0,2,0,1,.247,105,82
2nd inning,162,162.0,48,2.67,654,586,48,119,23,2,17,12,5,59,156,2.64,.203,.280,.336,.616,197,8,4,2,2,2,3,.246,85,80
3rd inning,162,162.0,66,3.67,656,597,67,134,26,1,18,20,4,44,141,3.20,.224,.281,.362,.643,216,11,6,2,7,1,1,.261,92,76
4th inning,162,162.0,63,3.50,665,600,65,144,26,2,17,22,5,56,153,2.73,.240,.304,.375,.679,225,14,2,1,6,1,2,.291,103,86
5th inning,162,162.0,58,3.22,658,613,61,146,30,3,19,12,2,38,144,3.79,.238,.284,.390,.673,239,10,2,2,3,0,1,.280,101,85
6th inning,162,162.0,70,3.89,696,640,84,165,33,3,18,21,1,46,145,3.15,.258,.315,.403,.718,258,11,8,0,2,1,7,.307,115,98
7th inning,162,162.0,62,3.44,670,605,64,134,25,1,19,8,2,51,155,3.04,.221,.288,.360,.648,218,10,7,3,4,1,5,.264,94,83
8th inning,162,162.0,55,3.06,654,586,60,123,16,3,14,13,2,52,164,3.15,.210,.283,.319,.602,187,17,10,1,5,5,3,.264,81,72
9th inning,126,121.0,57,4.24,514,457,62,115,20,1,17,6,4,45,115,2.56,.252,.322,.411,.733,188,11,4,4,4,4,2,.298,119,113
Ext inning,17,26.0,18,6.23,116,93,31,24,6,0,6,1,0,17,21,1.24,.258,.375,.516,.891,48,3,1,4,1,9,0,.269,165,139
Innings 1-3,162,486.0,174,3.22,1969,1779,178,384,73,3,62,44,10,158,447,2.83,.216,.284,.365,.649,649,33,16,4,11,3,5,.251,94,79
Innings 4-6,162,486.0,191,3.54,2019,1853,210,455,89,8,54,55,8,140,442,3.16,.246,.301,.390,.691,722,35,12,3,11,2,10,.293,106,90
Innings 7-9,162,445.0,174,3.52,1838,1648,186,372,61,5,50,27,8,148,434,2.93,.226,.296,.360,.655,593,38,21,8,13,10,10,.274,97,88
