Name,Team,WPA,-WPA,+WPA,RE24,REW,pLI,phLI,PH,WPA/LI,Clutch,NameASCII,PlayerId,MLBAMID
"Kyle Higashioka","TEX",0.19749154150485992,-5.887391090393066,6.084882736206055,2.7870006561279297,0.26382142305374146,1.0133644342422485,1.6058249473571777,8,-0.5061347484588623,0.7010217356388849,"Kyle Higashioka",5517,543309
"Rowdy Tellez","TEX",0.8830666542053223,-2.691732883453369,3.5747995376586914,0.5150001645088196,0.09085512161254883,1.2085765600204468,1.6015411615371704,17,0.14125367999076843,0.589413026130342,"Rowdy Tellez",15679,642133
"Alejandro Osuna","TEX",-0.12226014584302902,-3.213172197341919,3.090912103652954,-2.867000102996826,-0.30248886346817017,0.9829408526420593,1.7231332063674927,3,-0.6902747750282288,0.5658927783756281,"Alejandro Osuna",27915,696030
"Wyatt Langford","TEX",1.3018600940704346,-9.419504165649414,10.72136402130127,12.097599983215332,1.2698297500610352,0.9777072072029114,,0,0.875931978225708,0.4556119487080832,"Wyatt Langford",33333,694671
"Marcus Semien","TEX",-0.28375017642974854,-9.217848777770996,8.934099197387695,-4.220799922943115,-0.4410102069377899,1.0299170017242432,,0,-0.7028933763504028,0.42738556751269446,"Marcus Semien",12533,543760
"Michael Helman","TEX",0.37997594475746155,-1.788923978805542,2.1689000129699707,7.299799919128418,0.7564647197723389,0.9733774065971375,0.6080999970436096,6,0.14486420154571533,0.24550436688637117,"Michael Helman",24605,680737
"Jonah Heim","TEX",-0.8782128095626831,-7.778880596160889,6.900667667388916,-8.286998748779297,-0.9328500032424927,0.9770135283470154,1.1725454330444336,11,-1.1231271028518677,0.22425233389292676,"Jonah Heim",16930,641680
"Cody Freeman","TEX",-0.6787022948265076,-2.6916120052337646,2.0129096508026123,-2.8249993324279785,-0.2827950716018677,1.1256569623947144,2.5557498931884766,4,-0.7583802938461304,0.15544146123531322,"Cody Freeman",25629,683227
"Ezequiel Duran","TEX",-1.0333584547042847,-3.9427108764648438,2.9093525409698486,-11.878999710083008,-1.2165054082870483,0.9789282083511353,1.099446177482605,13,-1.1647725105285645,0.10917063299677965,"Ezequiel Duran",23733,677649
"Dustin Harris","TEX",-0.2614539563655853,-0.8945279717445374,0.6330739855766296,-2.67799973487854,-0.2696723937988281,1.0485644340515137,2.888733148574829,3,-0.2513143718242645,0.0019696984069505485,"Dustin Harris",25705,687957
"Sam Haggerty","TEX",0.45426222681999207,-3.3743934631347656,3.82865571975708,8.18320083618164,0.8361600637435913,1.1837834119796753,1.2600761651992798,21,0.3975036144256592,-0.013765996358925003,"Sam Haggerty",18054,664059
"Kevin Pillar","TEX",-0.36974194645881653,-0.8717359304428101,0.5019939541816711,-2.2037999629974365,-0.23514625430107117,1.029339075088501,1.4902222156524658,9,-0.3169681429862976,-0.04223511219667181,"Kevin Pillar",12434,607680
"Adolis García","TEX",-1.390805959701538,-11.35348892211914,9.962682723999023,-8.222999572753906,-0.8668484687805176,1.0743703842163086,0.9629000425338745,4,-1.251832127571106,-0.04269905100010063,"Adolis Garcia",19287,666969
"Leody Taveras","TEX",-0.22501599788665771,-1.3386460542678833,1.1136300563812256,-3.804999828338623,-0.38293781876564026,0.8637393116950989,0.6195999979972839,1,-0.20321545004844666,-0.05729833558099412,"Leody Taveras",18900,665750
"Dylan Moore","TEX",-0.21888791024684906,-0.6005077958106995,0.3816199004650116,0.30800002813339233,0.026693768799304962,1.1260727643966675,1.0345500707626343,8,-0.038349855691194534,-0.1560318194256225,"Dylan Moore",18042,664238
"Joc Pederson","TEX",-1.2499608993530273,-6.045584201812744,4.795623302459717,-14.702899932861328,-1.5878212451934814,1.0635161399841309,1.5023176670074463,17,-0.9853990077972412,-0.18991075230821286,"Joc Pederson",11899,592626
"Evan Carter","TEX",-0.4586952328681946,-3.8062820434570312,3.3475866317749023,3.7669999599456787,0.3940903842449188,0.9558207392692566,1.2312500476837158,8,-0.21782304346561432,-0.2620736714967289,"Evan Carter",27790,694497
"Jake Burger","TEX",-1.1857808828353882,-6.945794105529785,5.760013580322266,-1.9390000104904175,-0.20852960646152496,0.9685549736022949,1.7298599481582642,10,-0.7182222008705139,-0.5060561469295872,"Jake Burger",22275,669394
"Josh Jung","TEX",-1.676021695137024,-9.93043327331543,8.254411697387695,-1.231000542640686,-0.11211229860782623,0.9949663281440735,1.6136399507522583,5,-0.30181705951690674,-1.3826838604924505,"Josh Jung",26299,673962
"Corey Seager","TEX",1.2332175970077515,-7.560375213623047,8.79359245300293,22.380001068115234,2.3574376106262207,1.033759355545044,,0,2.72397780418396,-1.5310332466398648,"Corey Seager",13624,608369
"Josh Smith","TEX",-2.4800193309783936,-10.435393333435059,7.955374240875244,-11.592300415039062,-1.2377294301986694,0.9694786667823792,1.330346703529358,15,-0.6753869652748108,-1.882708860814252,"Josh Smith",26396,669701
