Name,Team,WPA,RE24,REW,pLI,inLI,gmLI,exLI,Pulls,WPA/LI,Clutch,SD,MD,NameASCII,PlayerId,MLBAMID
"Nathan Eovaldi","TEX",3.8828682899475098,33.54389953613281,3.427672863006592,0.9680806994438171,0.9633318185806274,0.8745454549789429,0.7797999978065491,21,3.3625295162200928,0.6483636791284972,0,0,"Nathan Eovaldi",9132,543135
"Jacob deGrom","TEX",2.5459604263305664,28.07349967956543,2.9018948078155518,0.8995062708854675,0.9359179735183716,0.8634466528892517,1.0774933099746704,30,2.8524563312530518,-0.022058691196200186,0,0,"Jacob deGrom",10954,594798
"Tyler Mahle","TEX",2.2968220710754395,21.47599983215332,2.2660207748413086,1.0393664836883545,0.9492202401161194,0.8766875267028809,1.4765249490737915,16,1.7819257974624634,0.42790308111057573,0,0,"Tyler Mahle",16358,641816
"Shawn Armstrong","TEX",2.776127114892006,17.97480010986328,1.8826319575309753,1.2419003651003788,1.0815468579530716,1.316808391624773,1.1455509905912438,49,1.3682634234428406,0.8671229190578482,28,6,"Shawn Armstrong",12857,542888
"Cole Winn","TEX",1.2797882556915283,16.36699867248535,1.7299615144729614,0.9044482111930847,0.8126547336578369,0.8412302732467651,0.8711304068565369,23,0.8963767886161804,0.5186166182515508,8,3,"Cole Winn",22113,668390
"Jacob Latz","TEX",1.7123163342475891,10.679699763655663,1.083158042281866,0.8626248788767756,0.8507295221958345,1.0741272261648467,1.0071571724755424,28,0.9816976189613342,1.003309278216495,7,4,"Jacob Latz",21306,656641
"Jack Leiter","TEX",0.35030630230903625,9.007599830627441,0.9345232248306274,1.0486371517181396,0.9050296545028687,0.8705999851226807,1.201965570449829,29,0.4645220935344696,-0.13046345205388038,0,0,"Jack Leiter",30146,683004
"Jacob Webb","TEX",-0.0010197577066719532,8.805000305175781,0.9470821022987366,0.9966087341308594,0.9435814619064331,1.0954654216766357,1.0556130409240723,46,0.906766414642334,-0.9077896423863305,13,9,"Jacob Webb",19274,657097
"Robert Garcia","TEX",-0.9284353852272034,6.253999710083008,0.6176173090934753,1.6686999797821045,1.3450862169265747,1.4250619411468506,1.645721673965454,46,0.6079366207122803,-1.1643190720073515,22,13,"Robert Garcia",23363,676395
"Chris Martin","TEX",0.03708409145474434,2.134000539779663,0.194015771150589,1.6506423950195312,1.356590747833252,1.5338374376296997,1.7490999698638916,38,0.4325675666332245,-0.41010110656492754,19,11,"Chris Martin",11847,455119
"Hoby Milner","TEX",-0.017963794991374016,1.4089995622634888,0.20175623893737793,1.2971892356872559,1.1538976430892944,1.4463095664978027,1.3236825466156006,63,0.2505382299423218,-0.2643864754389449,27,15,"Hoby Milner",13346,571948
"Luke Jackson","TEX",-1.5222541093826294,-0.050000011920928955,-0.0035670315846800804,1.5008012056350708,1.501880407333374,1.5136820077896118,1.714733362197876,18,-0.06852445751428604,-0.9457698432012311,11,9,"Luke Jackson",11752,592426
"Merrill Kelly","TEX",0.1181442141532898,-1.9966002702713013,-0.21094287931919098,0.9510526657104492,0.9523833394050598,0.875,1.3138999938964844,10,-0.29696154594421387,0.42118622709269105,0,0,"Merrill Kelly",11156,518876
"Patrick Corbin","TEX",-1.1714034974575043,-6.515400648117065,-0.661243125796318,0.9645692042039227,0.8583951854562185,0.9339741814521051,1.1468483209609985,29,-0.7843117117881775,-0.43012007014320397,0,1,"Patrick Corbin",9323,571578
"Kumar Rocker","TEX",-0.9240058660507202,-9.979599952697754,-1.0040160417556763,1.0495816469192505,0.9595304131507874,0.8780714273452759,1.149742841720581,14,-1.17380690574646,0.29345055732623215,0,0,"Kumar Rocker",31843,677958
"Caleb Boushley","TEX",-0.34567971527576447,-10.515000343322754,-1.0997877418994904,0.30298469192823585,0.3563446211365034,0.4043999934196472,0.6046333412329356,12,-0.9631597399711609,-0.17775504709551115,2,1,"Caleb Boushley",19736,676961
