Name,Team,,wRC+,NameASCII,PlayerId,MLBAMID
"Corey Seager","TEX",,137.68712924586418,"Corey Seager",13624,608369
"Wyatt Langford","TEX",,118.20581472623358,"Wyatt Langford",33333,694671
"Rowdy Tellez","TEX",,114.82177331961869,"Rowdy Tellez",15679,642133
"Dylan Moore","TEX",,113.2877382174569,"Dylan Moore",18042,664238
"Evan Carter","TEX",,107.27542398827268,"Evan Carter",27790,694497
"Michael Helman","TEX",,106.01572962924448,"Michael Helman",24605,680737
"Josh Smith","TEX",,100.27388372736357,"Josh Smith",26396,669701
"Sam Haggerty","TEX",,97.60440490897624,"Sam Haggerty",18054,664059
"Kyle Higashioka","TEX",,92.96629799439975,"Kyle Higashioka",5517,543309
"Josh Jung","TEX",,91.20131118833264,"Josh Jung",26299,673962
"Marcus Semien","TEX",,89.02824894465994,"Marcus Semien",12533,543760
"Jake Burger","TEX",,88.86301295847078,"Jake Burger",22275,669394
"Adolis García","TEX",,82.82936211315248,"Adolis Garcia",19287,666969
"Joc Pederson","TEX",,76.2780592995955,"Joc Pederson",11899,592626
"Tucker Barnhart","TEX",,72.4473987909288,"Tucker Barnhart",10200,571466
"Alejandro Osuna","TEX",,72.13688775208433,"Alejandro Osuna",27915,696030
"Jonah Heim","TEX",,69.08806935847792,"Jonah Heim",16930,641680
"Dustin Harris","TEX",,68.53352182262316,"Dustin Harris",25705,687957
"Cody Freeman","TEX",,65.87442175118873,"Cody Freeman",25629,683227
"Leody Taveras","TEX",,65.51484836014947,"Leody Taveras",18900,665750
"Ezequiel Duran","TEX",,57.16889658528279,"Ezequiel Duran",23733,677649
"Billy McKinney","TEX",,36.535272628344934,"Billy McKinney",15654,641856
"Kevin Pillar","TEX",,25.013825219542152,"Kevin Pillar",12434,607680
"Justin Foscue","TEX",,-18.229453181324455,"Justin Foscue",27501,679822
"Jonathan Ornelas","TEX",,-34.65974757519781,"Jonathan Ornelas",24597,680716
"Blaine Crim","TEX",,-39.13511315622335,"Blaine Crim",25714,688760
"Nick Ahmed","TEX",,-66.41616490676715,"Nick Ahmed",12147,605113
"Donovan Solano","TEX",,-100,"Donovan Solano",8623,456781
"Jack Leiter","TEX",,-100,"Jack Leiter",30146,683004
