Date,Tm,Home_Away,Opp,W/L,R,RA,Inn,W-L,Rank,GB,Win,Loss,Save,Time,D/N,Attendance,cLI,Streak,Orig. Scheduled
"Thursday, Mar 27",TEX,Home,BOS,L,2.0,5.0,9.0,0-1,3.0,1.0,Chapman,Jackson,Slaten,2:34,D,37585.0,0.96,-1,
"Friday, Mar 28",TEX,Home,BOS,W,4.0,1.0,9.0,1-1,1.0,Tied,Leiter,Houck,Jackson,2:27,N,26766.0,0.88,1,
"Saturday, Mar 29",TEX,Home,BOS,W,4.0,3.0,9.0,2-1,1.0,Tied,Milner,Buehler,Martin,2:48,N,32251.0,0.93,2,
"Sunday, Mar 30",TEX,Home,BOS,W,3.0,2.0,9.0,3-1,1.0,up 0.5,Armstrong,Fitts,Jackson,2:13,D,29137.0,0.97,3,
"Monday, Mar 31",TEX,@,CIN,L,3.0,14.0,9.0,3-2,2.0,0.5,Singer,Rocker,,2:25,N,10533.0,0.96,-1,
"Tuesday, Apr 1",TEX,@,CIN,W,1.0,0.0,9.0,4-2,2.0,0.5,Eovaldi,Spiers,,2:13,N,14852.0,0.95,1,
"Wednesday, Apr 2",TEX,@,CIN,W,1.0,0.0,9.0,5-2,1.0,up 0.5,Leiter,Greene,Jackson,2:13,D,13322.0,0.98,2,
"Friday, Apr 4",TEX,Home,TBR,W,5.0,2.0,9.0,6-2,1.0,up 1.5,Mahle,Littell,Jackson,2:14,N,24483.0,1.11,3,
"Saturday, Apr 5",TEX,Home,TBR,W,6.0,4.0,9.0,7-2,1.0,up 1.5,Garcia,Montgomery,Jackson,2:18,N,29058.0,1.11,4,
"Sunday, Apr 6",TEX,Home,TBR,W-wo,4.0,3.0,9.0,8-2,1.0,up 1.5,Webb,Uceta,,2:46,D,25614.0,1.14,5,
"Monday, Apr 7",TEX,@,CHC,L,0.0,7.0,9.0,8-3,1.0,up 1.0,Steele,Eovaldi,,2:13,N,27017.0,1.08,-1,
"Tuesday, Apr 8",TEX,@,CHC,L,6.0,10.0,9.0,8-4,1.0,Tied,Hodge,Martin,,2:43,N,27694.0,1.06,-2,
"Wednesday, Apr 9",TEX,@,CHC,W,6.0,2.0,9.0,9-4,1.0,up 1.0,Mahle,Imanaga,,2:16,D,23590.0,1.04,1,
"Friday, Apr 11",TEX,@,SEA,L,3.0,5.0,9.0,9-5,1.0,up 0.5,Vargas,Martin,Muñoz,2:33,N,28366.0,1.17,-1,
"Saturday, Apr 12",TEX,@,SEA,L,2.0,9.0,9.0,9-6,2.0,0.5,Woo,Rocker,,2:33,N,29943.0,1.19,-2,
"Sunday, Apr 13",TEX,@,SEA,L,1.0,3.0,9.0,9-7,2.0,0.5,Gilbert,Eovaldi,Muñoz,2:38,D,25100.0,1.19,-3,
"Tuesday, Apr 15",TEX,Home,LAA,W,4.0,0.0,9.0,10-7,1.0,up 0.5,Mahle,Kikuchi,,2:30,N,24501.0,1.17,1,
"Wednesday, Apr 16",TEX,Home,LAA,W,3.0,1.0,9.0,11-7,1.0,up 1.5,Corbin,Soriano,Jackson,2:26,N,20535.0,1.19,2,
"Thursday, Apr 17",TEX,Home,LAA,W,5.0,3.0,9.0,12-7,1.0,up 2.0,Rocker,Kochanowicz,Garcia,2:14,N,26279.0,1.24,3,
"Friday, Apr 18",TEX,Home,LAD,L,0.0,3.0,9.0,12-8,1.0,up 1.5,Yamamoto,deGrom,Scott,2:22,N,38623.0,1.15,-1,
"Saturday, Apr 19",TEX,Home,LAD,W-wo,4.0,3.0,9.0,13-8,1.0,up 2.0,Webb,Yates,,2:23,D,39244.0,1.1,1,
"Sunday, Apr 20",TEX,Home,LAD,L,0.0,1.0,9.0,13-9,1.0,up 1.0,Casparius,Martin,Scott,2:32,D,38110.0,1.1,-1,
"Tuesday, Apr 22",TEX,@,ATH,W,8.0,5.0,9.0,14-9,1.0,up 2.0,Corbin,Bido,Jackson,2:52,N,10059.0,1.18,1,
"Wednesday, Apr 23",TEX,@,ATH,L,2.0,5.0,9.0,14-10,1.0,up 1.0,Sears,Rocker,Miller,2:39,N,9806.0,1.22,-1,
"Thursday, Apr 24",TEX,@,ATH,L-wo,3.0,4.0,9.0,14-11,1.0,Tied,Holman,Jackson,,2:47,N,9008.0,1.2,-2,
"Friday, Apr 25",TEX,@,SFG,W,2.0,0.0,9.0,15-11,1.0,up 1.0,Eovaldi,Verlander,Jackson,2:40,N,40080.0,1.07,1,
"Saturday, Apr 26",TEX,@,SFG,L-wo,2.0,3.0,9.0,15-12,1.0,Tied,Walker,Webb,,2:38,D,40153.0,1.08,-1,
"Sunday, Apr 27",TEX,@,SFG,L-wo,2.0,3.0,9.0,15-13,2.0,1.0,Doval,Jackson,,2:37,D,40118.0,1.09,-2,
"Monday, Apr 28",TEX,Home,ATH,L,1.0,2.0,9.0,15-14,3.0,1.5,Sears,Corbin,Miller,2:48,N,19818.0,1.16,-3,
"Tuesday, Apr 29",TEX,Home,ATH,W,15.0,2.0,9.0,16-14,3.0,1.5,deGrom,Lopez,Dunning,2:43,N,24452.0,1.11,1,
"Wednesday, Apr 30",TEX,Home,ATH,L,1.0,7.0,9.0,16-15,3.0,2.5,Holman,Garcia,,2:51,N,19803.0,1.12,-1,
"Thursday, May 1",TEX,Home,ATH,L,0.0,3.0,9.0,16-16,4.0,3.0,Springs,Mahle,Miller,2:25,D,30808.0,1.12,-2,
"Friday, May 2",TEX,Home,SEA,L,1.0,13.0,9.0,16-17,4.0,4.0,Woo,Leiter,,2:43,N,29074.0,1.07,-3,
"Saturday, May 3",TEX,Home,SEA,L,1.0,2.0,9.0,16-18,4.0,5.0,Speier,Martin,Muñoz,2:36,N,26726.0,1.0,-4,
"Sunday, May 4",TEX,Home,SEA,W,8.0,1.0,9.0,17-18,4.0,4.0,deGrom,Evans,,2:18,D,27812.0,0.91,1,
"Tuesday, May 6",TEX,@,BOS,W,6.0,1.0,9.0,18-18,3.0,3.5,Eovaldi,Giolito,,2:46,N,29858.0,0.95,2,
"Wednesday, May 7",TEX,@,BOS,L,4.0,6.0,9.0,18-19,4.0,4.5,Bernardino,Webb,Chapman,2:44,N,31437.0,0.98,-1,
"Thursday, May 8",TEX,@,BOS,L,0.0,5.0,9.0,18-20,4.0,5.0,Slaten,Leiter,,2:37,D,27800.0,0.91,-2,
"Friday, May 9",TEX,@,DET,L,1.0,2.0,9.0,18-21,4.0,5.0,Skubal,Corbin,Vest,2:01,N,28407.0,0.85,-3,
"Saturday, May 10",TEX,@,DET,W,10.0,3.0,9.0,19-21,4.0,4.0,deGrom,Flaherty,,2:47,N,40844.0,0.78,1,
"Sunday, May 11",TEX,@,DET,W,6.0,1.0,9.0,20-21,4.0,3.0,Eovaldi,Olson,,2:41,D,36138.0,0.89,2,
"Monday, May 12",TEX,Home,COL,W,2.0,1.0,9.0,21-21,3.0,2.0,Mahle,Dollander,Webb,2:09,N,23123.0,0.92,3,
"Tuesday, May 13",TEX,Home,COL,W,4.0,1.0,9.0,22-21,3.0,2.0,Leiter,Freeland,Armstrong,2:28,N,19924.0,1.0,4,
"Wednesday, May 14",TEX,Home,COL,W,8.0,3.0,9.0,23-21,2.0,1.0,Corbin,Senzatela,,2:46,N,18679.0,0.99,5,
"Thursday, May 15",TEX,Home,HOU,W,1.0,0.0,9.0,24-21,2.0,0.5,deGrom,Brown,Armstrong,2:01,N,28108.0,1.17,6,
"Friday, May 16",TEX,Home,HOU,L,3.0,6.0,9.0,24-22,2.0,1.5,Ort,Armstrong,,3:00,N,33035.0,1.25,-1,
"Saturday, May 17",TEX,Home,HOU,W,5.0,1.0,9.0,25-22,2.0,1.5,Mahle,Blanco,,2:29,N,38465.0,1.16,1,
"Sunday, May 18",TEX,Home,HOU,L,3.0,4.0,9.0,25-23,2.0,2.5,Valdez,Garcia,Hader,2:45,D,34433.0,1.26,-1,
"Tuesday, May 20",TEX,@,NYY,L,2.0,5.0,9.0,25-24,3.0,3.0,Warren,Corbin,Weaver,2:47,N,40343.0,1.09,-2,
"Wednesday, May 21",TEX,@,NYY,L-wo,3.0,4.0,9.0,25-25,3.0,4.0,Weaver,Jackson,,2:56,N,40359.0,1.08,-3,
"Thursday, May 22",TEX,@,NYY,L,0.0,1.0,9.0,25-26,3.0,4.0,Rodón,Eovaldi,Weaver,2:27,D,43450.0,1.0,-4,
"Friday, May 23",TEX,@,CHW,L,1.0,4.0,9.0,25-27,4.0,5.0,Burke,Mahle,Wilson,2:32,N,17885.0,0.84,-5,
"Saturday, May 24",TEX,@,CHW,L,5.0,10.0,9.0,25-28,4.0,5.0,Vasil,Milner,,3:06,D,19240.0,0.81,-6,
"Sunday, May 25",TEX,@,CHW,W,5.0,4.0,9.0,26-28,3.0,4.0,Armstrong,Leasure,Garcia,2:36,D,20908.0,0.8,1,
"Monday, May 26",TEX,Home,TOR,L,1.0,2.0,9.0,26-29,3.0,4.5,Gausman,deGrom,Hoffman,2:18,D,33766.0,0.86,-1,
"Tuesday, May 27",TEX,Home,TOR,W,2.0,0.0,9.0,27-29,3.0,4.5,Jackson,Green,Garcia,2:38,N,25818.0,0.81,1,
"Wednesday, May 28",TEX,Home,TOR,L,0.0,2.0,9.0,27-30,3.0,4.5,Little,Webb,Hoffman,2:33,N,20811.0,0.86,-1,
"Friday, May 30",TEX,Home,STL,W,11.0,1.0,9.0,28-30,3.0,3.5,Leiter,Liberatore,Boushley,2:39,N,28679.0,0.75,1,
"Saturday, May 31",TEX,Home,STL,L,0.0,2.0,9.0,28-31,3.0,4.0,Gray,Corbin,Helsley,2:26,D,29062.0,0.81,-1,
"Sunday, Jun 1",TEX,Home,STL,W,8.0,1.0,9.0,29-31,3.0,4.0,deGrom,Fedde,,2:32,D,28138.0,0.75,1,
"Tuesday, Jun 3",TEX,@,TBR,L,1.0,5.0,9.0,29-32,3.0,4.5,Rasmussen,Mahle,,2:24,N,9131.0,0.81,-1,
