Name,Team,IP,HR,BB,K/9,BB/9,HR/9,BABIP,LOB%,GB%,HR/FB,ERA,FIP,xFIP,WHIP,AVG,NameASCII,PlayerId,MLBAMID
"Shawn Armstrong","TEX",48.2,1,11,9.06165354291825,2.0342487545326686,0.18493170495751532,0.1504424778761062,0.69620253,0.429824561,0.020408163,1.8493170495751534,2.313217629506719,3.598394891697453,0.5958910493075494,0.1125,"Shawn Armstrong",12857,542888
"Cole Winn","TEX",28,2,6,7.39286469684127,1.9285733991759837,0.6428577997253279,0.12307692307692308,0.74074074,0.5,0.086956521,1.9285733991759837,3.385136573655526,3.72299421317192,0.5714291553114026,0.113636363,"Cole Winn",22113,668390
"Nathan Eovaldi","TEX",64.1,4,10,8.813480561033835,1.398965168418069,0.5595860673672276,0.23717948717948717,0.90909091,0.5477707,0.09090909,1.2590686515762621,2.591094308266427,2.8372582377120463,0.7927469287702391,0.186363636,"Nathan Eovaldi",9132,543135
"Jacob Webb","TEX",36.1,7,13,7.926614104280987,3.220186979864151,1.733946835311466,0.20833333333333334,0.64102564,0.386138613,0.145833333,4.7064271244168365,5.03422094735744,4.5664265070922525,1.1009186255945815,0.203007518,"Jacob Webb",19274,657097
"Jacob deGrom","TEX",85.2,13,17,8.719853159240468,1.7859940205673248,1.3657601333750131,0.23214285714285715,0.80246914,0.362869198,0.12745098,3.2568126257404155,3.800506639594614,3.6634334674951154,0.9571994097158211,0.205047318,"Jacob deGrom",10954,594798
"Luke Jackson","TEX",21.1,2,10,6.328131600755633,4.218754400503755,0.843750880100751,0.25,0.6870229,0.564516129,0.111111111,2.9531280803526285,4.635137882830345,4.717230515317527,1.2656263201511266,0.22368421,"Luke Jackson",11752,592426
"Kumar Rocker","TEX",31,5,8,9.00000941369826,2.3225830745027767,1.4516144215642355,0.26506024096385544,0.73333333,0.48275862,0.2,4.354843264692707,4.199653560687227,3.3462166315657296,1.1290334389944054,0.228813559,"Kumar Rocker",31843,677958
"Robert Garcia","TEX",39.2,5,19,9.756312529043019,4.31092879190273,1.1344549452375603,0.2912621359223301,0.74468085,0.415094339,0.128205128,3.630255824760193,4.042700274396836,3.9198724158869713,1.3613459342850724,0.236486486,"Robert Garcia",23363,676395
"Tyler Mahle","TEX",46.1,2,19,6.021588848272842,3.6906512295865803,0.3884896031143769,0.2937062937062937,0.83056478,0.386206896,0.037037037,2.52518242024345,3.5883741885068936,4.8240716230949925,1.3597136109003192,0.25,"Tyler Mahle",16358,641816
"Jacob Latz","TEX",54.2,4,27,8.725618686378809,4.4451265006080725,0.6585372593493442,0.3197278911564626,0.85635359,0.350993377,0.0625,2.4695147225600405,3.6290392627187953,4.482783724540289,1.4268307285902455,0.25,"Jacob Latz",21306,656641
"Chris Martin","TEX",26,4,1,9.692317646646284,0.3461542016659387,1.3846168066637548,0.3142857142857143,0.80357143,0.364864864,0.148148148,2.7692336133275095,3.2120594741325514,2.8130960451317697,1.038462604997816,0.25490196,"Chris Martin",11847,455119
"Jack Leiter","TEX",71.2,8,32,8.665124888699443,4.018608644034525,1.0046521610086312,0.32038834951456313,0.7388664,0.387850467,0.085106382,4.52093472453884,4.16769548368788,4.738721570926917,1.4790712370404846,0.263345195,"Jack Leiter",30146,683004
"Caleb Boushley","TEX",24.1,1,6,7.027404788385582,2.219180459490184,0.36986340991503064,0.32894736842105265,0.60126582,0.486842105,0.034482758,4.068497509065337,2.970752580466774,4.273922748914972,1.315069901920109,0.270833333,"Caleb Boushley",19736,676961
"Patrick Corbin","TEX",115.1,16,35,7.491337243512334,2.731216703363872,1.2485562072520557,0.3179190751445087,0.73446328,0.38243626,0.117647058,4.526016251288702,4.262305116420449,4.276841664538109,1.3959552039415346,0.278145695,"Patrick Corbin",9323,571578
"Hoby Milner","TEX",35.2,3,18,7.8224379940817945,4.542060770757171,0.7570101284595284,0.3508771929824561,0.73129252,0.508620689,0.073170731,4.542060770757171,4.172520568317993,4.851343099302102,1.710282142075231,0.294520547,"Hoby Milner",13346,571948
"Merrill Kelly","TEX",24.1,2,2,8.136995018130674,0.7397268198300613,0.7397268198300613,0.35526315789473684,0.63829787,0.402597402,0.068965517,4.808224328895399,2.6419851049867464,3.4109081257798994,1.2739739674851056,0.295918367,"Merrill Kelly",11156,518876
