Name,Team,IP,HR,BB,K/9,BB/9,HR/9,BABIP,LOB%,GB%,HR/FB,ERA,FIP,xFIP,WHIP,AVG,NameASCII,PlayerId,MLBAMID
"Jacob Latz","TEX",31,3,10,6.677426339195483,2.903228843128471,0.8709686529385413,0.18518518518518517,0.67226891,0.428571428,0.096774193,3.4838746117541652,3.8770725781173967,4.160747673497234,0.9032267511955243,0.16981132,"Jacob Latz",21306,656641
"Tyler Mahle","TEX",40.1,3,10,7.8099257268188325,2.2314073505196665,0.6694222051558999,0.21359223300970873,0.87662338,0.39047619,0.0625,1.785125880415733,3.1103429032010133,3.9781988857719264,0.8677695252020925,0.178571428,"Tyler Mahle",16358,641816
"Jack Leiter","TEX",80,10,35,8.887509323368317,3.937504130606216,1.1250011801732045,0.21287128712871287,0.76,0.369668246,0.105263157,3.2625034225022933,4.135137367249635,4.3409530194773644,1.1000011539471335,0.18275862,"Jack Leiter",30146,683004
"Jacob deGrom","TEX",87,13,20,10.551735241841538,2.068967694478733,1.3448290014111763,0.2268041237113402,0.87171053,0.395121951,0.15116279,2.6896580028223527,3.491458532255902,3.072947529457095,0.8850584026381246,0.185667752,"Jacob deGrom",10954,594798
"Jacob Webb","TEX",29.2,3,6,7.8876487323629805,1.8202266305453032,0.9101133152726516,0.23170731707317074,1,0.238095238,0.063829787,0.9101133152726516,3.4047995227320174,4.532724790170437,0.9438212158383054,0.2,"Jacob Webb",19274,657097
"Nathan Eovaldi","TEX",65.2,6,11,9.045695088167237,1.507615848027873,0.8223359171061125,0.24855491329479767,0.82733813,0.462857142,0.1,2.1928957789496333,2.998080332022435,3.2189591332804035,0.9137065745623473,0.20164609,"Nathan Eovaldi",9132,543135
"Hoby Milner","TEX",34.2,2,3,7.009622840846956,0.7788469823163284,0.519231321544219,0.24731182795698925,0.51587302,0.549450549,0.074074074,3.1153879292653137,2.5870588121323337,3.0378370271924116,0.8076931668465629,0.208333333,"Hoby Milner",13346,571948
"Shawn Armstrong","TEX",25.1,4,9,8.881588086206325,3.1973717110342768,1.4210540937930118,0.2727272727272727,0.83941606,0.242857142,0.108108108,3.1973717110342768,4.516716687172216,4.715836154456347,1.2236854696550936,0.234042553,"Shawn Armstrong",12857,542888
"Patrick Corbin","TEX",40,5,16,7.875008261212432,3.6000037765542547,1.1250011801732045,0.2702702702702703,0.72727273,0.438596491,0.135135135,4.050004248623536,4.21013744592785,4.011246103467478,1.2750013375296319,0.234899328,"Patrick Corbin",9323,571578
"Phil Maton","TEX",10,1,7,17.10001793863271,6.300006608969945,0.9000009441385637,0.42105263157894735,0.75342466,0.3,0.166666666,4.500004720692818,2.7351358985896477,2.3601790941210306,1.6000016784685576,0.236842105,"Phil Maton",18064,664208
"Merrill Kelly","TEX",31,7,8,6.9677492235083305,2.3225830745027767,2.0322601901899295,0.25,0.89041096,0.383838383,0.162790697,3.7741974960670124,5.393203196195598,4.59626012185187,1.2258077337653543,0.243902439,"Merrill Kelly",11156,518876
"Robert Garcia","TEX",24.1,3,3,9.246585247875766,1.109590229745092,1.109590229745092,0.29850746268656714,0.87719298,0.36231884,0.111111111,1.8493170495751534,3.1762322526417908,3.284189690186573,1.0684942953100887,0.244680851,"Robert Garcia",23363,676395
"Cole Winn","TEX",13.2,1,11,7.902447112192129,7.243909852842785,0.6585372593493442,0.3157894736842105,1,0.421052631,0.066666666,0.6585372593493442,4.964406483066076,5.7053406356658005,1.7560993582649176,0.26,"Cole Winn",22113,668390
"Chris Martin","TEX",16.1,2,7,8.265314487464153,3.8571467608166046,1.102041931661887,0.32608695652173914,0.75471698,0.520833333,0.125,3.306125794985661,4.17595369810968,4.094392128016065,1.4693892422158494,0.274193548,"Chris Martin",11847,455119
"Luke Jackson","TEX",13.2,2,9,5.926835334144097,5.926835334144097,1.3170745186986883,0.3023255813953488,0.70754717,0.5,0.153846153,5.926835334144097,5.696114549009792,5.260207597439145,1.7560993582649176,0.283018867,"Luke Jackson",11752,592426
"Kumar Rocker","TEX",33.1,6,15,6.750007209785533,4.05000432587132,1.620001730348528,0.34545454545454546,0.64638783,0.48275862,0.162162162,7.0200074981769545,5.505138849642597,4.876468817572498,1.7700018905659842,0.318840579,"Kumar Rocker",31843,677958
"Caleb Boushley","TEX",19,4,8,10.421063092947602,3.7894774883445823,1.8947387441722912,0.43636363636363634,0.57324841,0.305084745,0.25,8.52632434877531,4.9772434305965145,3.538706672638697,1.8947387441722912,0.345679012,"Caleb Boushley",19736,676961
