trial,delta,best_delta,predicted_W,sigma_sv_pct,sigma_ir_pct,sigma_onerun_wp,sigma_xi_wp,sigma_HR9,sigma_BB9
1,1.429417,1.429417,87.717854,-0.37638,1.352143,0.695982,0.295975,-1.031944,-1.032016
2,0.710882,1.429417,86.999319,-1.325749,1.098528,0.303345,0.624218,-1.438247,1.40973
3,-2.292431,1.429417,83.996006,0.997328,-0.862983,-0.954525,-0.949786,-0.587273,0.074269
4,0.704905,1.429417,86.993342,-0.204165,-0.626313,0.335559,-1.081518,-0.623566,-0.400914
5,-2.531522,1.429417,83.756915,-0.13179,0.855528,-0.900979,0.042703,0.277244,-1.360649
6,-2.237494,1.429417,84.050943,0.322635,-0.988428,-1.304845,1.346657,1.396896,0.925192
7,1.585184,1.585184,87.873621,-0.586159,-1.206984,0.552699,-0.179543,-1.133885,-0.014469
8,-1.824873,1.585184,84.463565,-1.396834,1.227961,-0.72366,0.487567,-0.564867,0.060204
9,4.319163,4.319163,90.607601,0.140131,-0.945437,1.408754,0.825398,1.318497,1.184482
10,-3.212994,4.319163,83.075443,0.2937,1.265623,-1.234522,-0.912051,-1.364318,-0.524009
11,4.369968,4.369968,90.658405,1.33541,-0.080018,1.408611,1.333497,1.451623,0.863528
12,4.436497,4.436497,90.724934,1.438515,-0.00685,1.448312,1.492042,1.487406,0.827155
13,4.327164,4.436497,90.615602,1.420698,0.106873,1.482018,1.41119,0.569671,0.719934
14,2.420514,4.436497,88.708951,0.967392,0.054477,1.008621,1.006059,0.886764,0.578613
15,0.253274,4.436497,86.541711,1.473398,0.520673,-0.100303,1.48805,0.92248,0.482567
16,2.704949,4.436497,88.993386,0.851163,-0.364869,1.024763,1.063409,1.49253,1.4925
17,-0.283182,4.436497,86.005255,0.689504,0.446408,-0.194195,-0.417774,1.020228,1.058924
18,2.602146,4.436497,88.890583,1.219298,-0.300058,1.022877,1.072173,-0.123678,0.364963
19,2.541799,4.436497,88.830236,0.487551,0.379399,1.189201,0.695566,0.511635,0.889713
20,1.819724,4.436497,88.108161,1.219244,-0.248956,0.696794,-0.497844,-0.055031,0.302251
21,-0.207641,4.436497,86.080796,-0.920447,-1.418343,-0.424829,0.298923,1.143179,-0.304342
22,4.332994,4.436497,90.621431,1.394716,0.08229,1.497728,1.335409,0.731542,0.677799
23,2.518592,4.436497,88.807029,1.156523,-0.099398,1.307761,-1.488972,0.700814,0.738415
24,3.128523,4.436497,89.416961,1.484131,-0.61896,1.190277,1.233456,1.194895,1.189953
25,4.115982,4.436497,90.404419,0.757564,0.229847,1.492062,0.936648,0.336125,0.723924
26,2.065953,4.436497,88.35439,0.617428,0.865425,0.888688,1.182259,1.491773,0.260888
27,1.388344,4.436497,87.676782,1.098242,-0.474111,0.226011,1.416623,0.842499,1.186873
28,2.618393,4.436497,88.906831,1.285076,0.659941,1.199417,0.798328,1.145322,0.965409
29,2.242487,4.436497,88.530925,0.915918,-0.088107,0.792587,1.18568,0.139202,0.562214
30,1.135974,4.436497,87.424411,-0.549494,0.251922,0.50871,0.488166,0.698957,-0.679283
31,2.858511,4.436497,89.146948,1.323761,-0.139908,1.283351,0.197728,1.282775,-0.1415
32,4.17222,4.436497,90.460657,1.475446,0.168498,1.40326,1.488338,0.565852,0.732666
33,4.370571,4.436497,90.659008,1.377974,0.011086,1.479977,1.271197,0.44748,1.327739
34,2.883686,4.436497,89.172123,1.069601,-0.595047,1.100449,1.291641,-0.242023,1.342877
35,2.351621,4.436497,88.640059,1.318131,-0.025685,0.855581,0.904302,0.38816,1.31061
36,2.80658,4.436497,89.095017,-1.120432,0.342687,1.304297,1.169168,0.157853,1.084919
37,1.356596,4.436497,87.645034,0.998453,0.698531,0.532132,0.531098,1.038525,0.868816
38,4.38963,4.436497,90.678067,0.84118,-0.781615,1.495027,1.282657,0.774105,-0.967458
39,2.436211,4.436497,88.724648,0.424618,-0.793092,0.944282,0.784858,-0.272437,-1.341265
40,2.721793,4.436497,89.010231,0.827102,-0.745472,1.11674,0.654737,1.251317,-1.188817
