point,delta,pred_std,predicted_W,sigma_sv_pct,sigma_ir_pct,sigma_onerun_wp,sigma_xi_wp,sigma_HR9,sigma_BB9
2,2.919476,0.001862,89.207913,0.632827,-0.149466,1.253471,1.196277,0.565097,-0.254493
196,2.920875,0.002337,89.209313,0.629912,-0.149466,1.253471,1.202614,0.565097,-0.247354
94,2.923888,0.004772,89.212325,0.629912,-0.149466,1.255493,1.209181,0.565097,-0.258923
92,2.9287,0.00732,89.217137,0.450075,-0.292421,1.253522,1.119813,0.283331,-0.132165
116,2.931746,0.009819,89.220184,0.453018,-0.278583,1.259381,1.114358,0.291706,-0.132805
114,2.935388,0.011959,89.223825,0.4547,-0.34398,1.251175,1.096693,0.446094,-0.129203
109,2.940101,0.014078,89.228539,0.61199,-0.276524,1.250449,1.190482,0.577484,-0.285031
193,2.942075,0.016898,89.230513,0.454489,-0.384648,1.253532,1.115472,0.454802,-0.276164
13,2.943852,0.017292,89.23229,0.45293,-0.335201,1.259381,1.114358,0.445439,-0.132805
11,3.003679,0.018963,89.292117,0.48106,-0.143886,1.258227,1.404502,-0.715152,-0.101012
66,3.010206,0.020926,89.298643,0.4453,-0.182646,1.262421,1.413254,-0.701822,-0.358177
96,3.017805,0.023118,89.306242,0.449173,-0.143581,1.259899,1.499865,-0.745548,-0.334573
103,3.020782,0.024948,89.309219,0.449173,-0.143581,1.259899,1.499865,-0.745548,-0.268696
51,3.025752,0.027785,89.314189,0.445223,-0.218697,1.262555,1.450744,-0.70135,-0.35846
76,3.032232,0.031246,89.320669,0.45785,-0.281715,1.249797,1.484506,-0.726002,-0.389787
165,3.034773,0.032868,89.32321,0.441118,-0.192814,1.260771,1.498343,-0.994793,-0.347095
156,3.037287,0.034884,89.325725,0.472163,-0.218697,1.262555,1.493478,-0.697783,-0.35846
117,3.040422,0.036501,89.328859,0.445585,-0.276321,1.255999,1.451824,-1.185147,-0.305926
85,3.045524,0.038967,89.333961,0.448706,-0.295211,1.256819,1.476535,-1.169261,-0.420617
120,3.048867,0.041458,89.337305,0.445585,-0.276321,1.255999,1.494852,-1.185147,-0.305926
126,3.05253,0.043336,89.340967,0.451899,-0.302439,1.25702,1.48582,-1.078631,-0.341286
75,3.056598,0.045426,89.345035,0.4453,-0.336709,1.262421,1.450744,-0.70135,-0.35846
36,3.061308,0.048705,89.349745,0.446609,-0.348289,1.262421,1.438447,-1.277063,-0.432896
89,3.068579,0.052255,89.357017,0.447009,-0.375575,1.257703,1.487067,-1.119869,-0.43531
136,3.074521,0.056352,89.362958,0.448829,-0.384852,1.258608,1.487067,-1.039172,-0.358907
69,3.078787,0.058523,89.367224,0.49626,-0.384852,1.258553,1.487067,-1.264609,-0.43531
59,3.084529,0.061681,89.372966,0.445494,-0.436283,1.257133,1.483682,-0.682185,-0.432823
181,3.089546,0.064351,89.377983,0.445494,-0.436283,1.262325,1.479861,-0.682185,-0.43287
135,3.091486,0.066022,89.379923,0.445494,-0.436283,1.261268,1.48296,-0.682185,-0.459993
30,3.096948,0.069204,89.385385,0.445412,-0.46257,1.262421,1.450744,-0.713813,-0.346832
24,3.103625,0.073895,89.392063,0.53865,-0.427656,1.260577,1.499405,-0.70135,-0.35846
71,3.111292,0.077486,89.399729,0.452816,-0.540198,1.261445,1.446315,-0.703881,-0.433641
146,3.112597,0.079437,89.401034,0.542328,-0.462333,1.262421,1.476982,-0.713922,-0.346541
34,3.117598,0.081304,89.406035,0.4453,-0.541666,1.262421,1.450744,-0.703881,-0.35846
54,3.125387,0.086048,89.413825,0.445729,-0.530585,1.262421,1.498863,-0.703881,-0.329441
118,3.128497,0.087485,89.416934,0.445348,-0.581004,1.262421,1.46328,-0.71477,-0.432896
72,3.13349,0.090147,89.421927,0.445348,-0.581004,1.262421,1.488718,-0.71477,-0.432896
